customer_key,customer_code,customer_name,country_code,customer_segment,industry,city,owning_team_id,created_date
25,CUST-00025,Lotus Education Solutions,EG,Enterprise,Media,Giza,T01,2022-02-06
26,CUST-00026,Nile Logistics Partners,EG,Enterprise,Construction,New Cairo,T01,2019-01-10
27,CUST-00027,Delta Healthcare Solutions,EG,Enterprise,Healthcare,New Cairo,T01,2022-12-17
28,CUST-00028,Lotus Education Partners,EG,Enterprise,Media,New Cairo,T01,2020-01-19
29,CUST-00029,Memphis Education Holding,EG,Enterprise,Manufacturing,Alexandria,T01,2021-04-22
30,CUST-00030,Alex Real Estate Partners,EG,Enterprise,Education,Alexandria,T01,2019-06-16
31,CUST-00031,Pyramid Logistics Holding,EG,Enterprise,Financial Services,New Cairo,T01,2023-09-17
32,CUST-00032,Pyramid Financial Services Group,EG,Enterprise,Healthcare,Cairo,T01,2020-07-28
33,CUST-00033,Pyramid Education Partners,EG,Enterprise,Logistics,Cairo,T01,2023-09-25
34,CUST-00034,Horus Hospitality Group,EG,Enterprise,Retail,New Cairo,T01,2020-08-20
35,CUST-00035,Sinai Education Enterprises,EG,Enterprise,Construction,Giza,T01,2022-03-30
36,CUST-00036,Horus Hospitality Trading,EG,Enterprise,Logistics,New Cairo,T01,2020-12-06
37,CUST-00037,Memphis Media Partners,EG,Enterprise,Media,Cairo,T01,2022-09-07
38,CUST-00038,Pyramid Media Partners,EG,Enterprise,Manufacturing,New Cairo,T01,2020-07-16
39,CUST-00039,Alex Healthcare Enterprises,EG,Enterprise,Manufacturing,New Cairo,T01,2022-06-12
40,CUST-00040,Alex Logistics Trading,EG,Enterprise,Construction,Alexandria,T01,2023-01-04
41,CUST-00041,Nile Financial Services Group,EG,Enterprise,Real Estate,Giza,T01,2020-01-30
42,CUST-00042,Memphis Logistics Solutions,EG,Enterprise,Construction,Giza,T01,2022-01-06
43,CUST-00043,Horus Healthcare Group,EG,Enterprise,Healthcare,New Cairo,T01,2020-07-27
44,CUST-00044,Delta Government Services Co.,EG,Enterprise,Media,Cairo,T01,2022-11-08
45,CUST-00045,Horus Energy Enterprises,EG,Enterprise,Construction,Cairo,T01,2022-11-23
46,CUST-00046,Delta Construction Co.,EG,Enterprise,Hospitality,Alexandria,T01,2021-09-22
47,CUST-00047,Sinai Government Services Trading,EG,Enterprise,Government Services,New Cairo,T01,2023-08-05
48,CUST-00048,Alex Government Services Holding,EG,Enterprise,Education,Cairo,T01,2021-01-23
49,CUST-00049,Alex Healthcare Group,EG,Enterprise,Financial Services,Cairo,T01,2021-04-04
50,CUST-00050,Nile Logistics Trading,EG,Enterprise,Hospitality,New Cairo,T01,2022-11-02
51,CUST-00051,Lotus Real Estate Holding,EG,Enterprise,Retail,Cairo,T01,2019-08-18
52,CUST-00052,Horus Energy Holding,EG,Enterprise,Healthcare,Alexandria,T01,2023-05-02
53,CUST-00053,Lotus Manufacturing Partners,EG,Enterprise,Government Services,Cairo,T01,2021-05-09
54,CUST-00054,Alex Construction Trading,EG,Enterprise,Construction,Cairo,T01,2023-07-31
55,CUST-00055,Pyramid Hospitality Solutions,EG,Enterprise,Government Services,Cairo,T01,2021-09-08
56,CUST-00056,Sinai Healthcare Solutions,EG,Enterprise,Real Estate,Alexandria,T01,2020-09-01
57,CUST-00057,Horus Manufacturing Services,EG,Enterprise,Education,New Cairo,T01,2021-09-19
58,CUST-00058,Sinai Education Partners,EG,Enterprise,Retail,Alexandria,T01,2022-09-02
59,CUST-00059,Sinai Logistics Holding,EG,Enterprise,Education,Giza,T01,2020-10-06
60,CUST-00060,Horus Logistics Enterprises,EG,Enterprise,Retail,Giza,T01,2019-06-08
61,CUST-00061,Memphis Energy Enterprises,EG,Enterprise,Construction,Giza,T01,2020-09-01
62,CUST-00062,Alex Energy Co.,EG,Enterprise,Energy,New Cairo,T01,2023-06-23
63,CUST-00063,Alex Energy Enterprises,EG,Enterprise,Hospitality,New Cairo,T01,2021-12-02
64,CUST-00064,Alex Manufacturing Group,EG,Enterprise,Media,Giza,T01,2020-08-11
65,CUST-00065,Pyramid Real Estate Group,EG,Enterprise,Energy,Giza,T01,2023-05-07
66,CUST-00066,Alex Logistics Co.,EG,Enterprise,Media,Cairo,T01,2019-09-23
67,CUST-00067,Memphis Hospitality Solutions,EG,Enterprise,Hospitality,Giza,T01,2019-01-02
68,CUST-00068,Horus Retail Holding,EG,Enterprise,Manufacturing,Giza,T01,2022-09-26
69,CUST-00069,Nile Hospitality Group,EG,Enterprise,Financial Services,Alexandria,T01,2019-05-13
70,CUST-00070,Memphis Government Services Group,EG,Enterprise,Education,Giza,T01,2019-08-10
71,CUST-00071,Pyramid Government Services Partners,EG,SME,Energy,Giza,T02,2019-07-05
72,CUST-00072,Horus Financial Services Holding,EG,SME,Logistics,Alexandria,T02,2020-07-09
73,CUST-00073,Lotus Financial Services Group,EG,SME,Energy,Giza,T02,2019-12-14
74,CUST-00074,Memphis Government Services Co.,EG,SME,Hospitality,New Cairo,T02,2022-08-14
75,CUST-00075,Sinai Real Estate Co.,EG,SME,Hospitality,Alexandria,T02,2023-06-26
76,CUST-00076,Alex Real Estate Enterprises,EG,SME,Retail,Giza,T02,2021-07-29
77,CUST-00077,Nile Construction Services,EG,SME,Logistics,Giza,T02,2020-01-13
78,CUST-00078,Nile Energy Group,EG,SME,Government Services,Cairo,T02,2021-01-24
79,CUST-00079,Nile Healthcare Services,EG,SME,Real Estate,Giza,T02,2020-10-08
80,CUST-00080,Horus Construction Services,EG,SME,Logistics,Cairo,T02,2021-08-20
81,CUST-00081,Nile Media Solutions,EG,SME,Government Services,Alexandria,T02,2023-08-15
82,CUST-00082,Sinai Financial Services Co.,EG,SME,Media,Cairo,T02,2022-03-24
83,CUST-00083,Memphis Financial Services Enterprises,EG,SME,Logistics,Cairo,T02,2023-06-28
84,CUST-00084,Memphis Manufacturing Services,EG,SME,Education,Giza,T02,2021-04-15
85,CUST-00085,Memphis Healthcare Holding,EG,SME,Hospitality,New Cairo,T02,2023-06-23
86,CUST-00086,Horus Education Partners,EG,SME,Financial Services,Cairo,T02,2019-11-12
87,CUST-00087,Alex Financial Services Trading,EG,SME,Financial Services,New Cairo,T02,2020-11-17
88,CUST-00088,Nile Construction Partners,EG,SME,Construction,Cairo,T02,2021-01-11
89,CUST-00089,Pyramid Logistics Enterprises,EG,SME,Real Estate,New Cairo,T02,2023-03-07
90,CUST-00090,Memphis Energy Trading,EG,SME,Construction,Cairo,T02,2021-06-30
91,CUST-00091,Memphis Real Estate Solutions,EG,SME,Energy,Giza,T02,2020-11-24
92,CUST-00092,Horus Education Solutions,EG,SME,Logistics,Giza,T02,2020-03-30
93,CUST-00093,Lotus Financial Services Solutions,EG,SME,Logistics,Giza,T02,2020-12-21
94,CUST-00094,Nile Real Estate Services,EG,SME,Healthcare,New Cairo,T02,2020-10-20
95,CUST-00095,Memphis Media Solutions,EG,SME,Media,New Cairo,T02,2022-05-09
96,CUST-00096,Alex Construction Solutions,EG,SME,Energy,Cairo,T02,2021-01-21
97,CUST-00097,Pyramid Education Trading,EG,SME,Media,Giza,T02,2022-10-25
98,CUST-00098,Lotus Construction Group,EG,SME,Education,Alexandria,T02,2019-01-14
99,CUST-00099,Memphis Real Estate Services,EG,SME,Logistics,Alexandria,T02,2021-06-03
100,CUST-00100,Memphis Manufacturing Holding,EG,SME,Energy,Cairo,T02,2019-11-30
101,CUST-00101,Memphis Media Trading,EG,SME,Energy,Giza,T02,2019-03-14
102,CUST-00102,Lotus Manufacturing Trading,EG,SME,Education,Cairo,T02,2023-07-08
103,CUST-00103,Alex Logistics Solutions,EG,SME,Real Estate,Giza,T02,2019-02-20
104,CUST-00104,Sinai Construction Partners,EG,SME,Healthcare,New Cairo,T02,2023-11-24
105,CUST-00105,Alex Real Estate Holding,EG,SME,Hospitality,Cairo,T02,2019-04-14
106,CUST-00106,Sinai Real Estate Group,EG,SME,Construction,New Cairo,T02,2022-10-10
107,CUST-00107,Delta Media Services,EG,SME,Logistics,New Cairo,T02,2021-01-19
108,CUST-00108,Horus Government Services Partners,EG,SME,Retail,Giza,T02,2020-11-06
109,CUST-00109,Delta Financial Services Trading,EG,SME,Education,Cairo,T02,2023-01-04
110,CUST-00110,Memphis Construction Holding,EG,SME,Real Estate,Cairo,T02,2022-12-04
111,CUST-00111,Delta Financial Services Enterprises,EG,SME,Energy,Alexandria,T02,2021-11-13
112,CUST-00112,Horus Real Estate Services,EG,SME,Logistics,Cairo,T02,2021-03-05
113,CUST-00113,Delta Energy Co.,EG,SME,Media,New Cairo,T02,2020-11-26
114,CUST-00114,Memphis Media Enterprises,EG,SME,Government Services,Alexandria,T02,2023-05-01
115,CUST-00115,Memphis Government Services Services,EG,SME,Government Services,Giza,T02,2022-11-26
116,CUST-00116,Horus Media Holding,EG,SME,Manufacturing,Alexandria,T02,2020-11-17
117,CUST-00117,Memphis Logistics Enterprises,EG,SME,Media,Cairo,T02,2019-02-27
118,CUST-00118,Horus Logistics Trading,EG,SME,Energy,Alexandria,T02,2019-12-11
119,CUST-00119,Alex Government Services Enterprises,EG,SME,Logistics,Cairo,T02,2019-02-16
120,CUST-00120,Memphis Retail Group,EG,SME,Construction,Cairo,T02,2019-06-03
121,CUST-00121,Pyramid Media Holding,EG,SME,Retail,Giza,T02,2023-03-25
122,CUST-00122,Sinai Retail Partners,EG,SME,Healthcare,Cairo,T02,2021-02-03
123,CUST-00123,Alex Construction Partners,EG,SME,Hospitality,Giza,T02,2023-08-19
124,CUST-00124,Lotus Hospitality Solutions,EG,SME,Government Services,Cairo,T02,2019-07-26
125,CUST-00125,Delta Retail Services,EG,SME,Retail,Cairo,T02,2020-04-17
126,CUST-00126,Memphis Hospitality Partners,EG,SME,Financial Services,Giza,T02,2021-12-20
127,CUST-00127,Memphis Construction Solutions,EG,SME,Financial Services,Alexandria,T02,2023-04-24
128,CUST-00128,Lotus Hospitality Partners,EG,SME,Manufacturing,Cairo,T02,2019-06-25
129,CUST-00129,Pyramid Hospitality Co.,EG,SME,Government Services,Alexandria,T02,2019-04-05
130,CUST-00130,Alex Media Services,EG,SME,Government Services,Cairo,T02,2021-05-08
131,CUST-00131,Sinai Logistics Co.,EG,SME,Education,Cairo,T02,2019-01-10
132,CUST-00132,Lotus Hospitality Co.,EG,SME,Energy,Giza,T02,2021-04-18
133,CUST-00133,Nile Logistics Solutions,EG,SME,Manufacturing,Cairo,T02,2020-12-17
134,CUST-00134,Nile Government Services Group,EG,SME,Government Services,New Cairo,T02,2022-01-14
135,CUST-00135,Lotus Government Services Group,EG,SME,Financial Services,Cairo,T02,2019-10-03
136,CUST-00136,Delta Education Services,EG,SME,Construction,Alexandria,T02,2021-05-05
137,CUST-00137,Horus Government Services Trading,EG,SME,Government Services,Giza,T02,2021-01-16
138,CUST-00138,Pyramid Financial Services Co.,EG,SME,Manufacturing,Alexandria,T02,2019-02-07
139,CUST-00139,Delta Retail Trading,EG,SME,Government Services,Alexandria,T02,2019-10-24
140,CUST-00140,Nile Media Partners,EG,SME,Financial Services,Alexandria,T02,2023-01-29
141,CUST-00141,Pyramid Media Co.,EG,SME,Real Estate,Alexandria,T02,2021-04-19
142,CUST-00142,Pyramid Healthcare Enterprises,EG,SME,Government Services,Giza,T02,2021-08-05
143,CUST-00143,Sinai Real Estate Solutions,EG,SME,Education,Cairo,T02,2019-09-10
144,CUST-00144,Sinai Real Estate Partners,EG,SME,Hospitality,New Cairo,T02,2022-10-27
145,CUST-00145,Pyramid Hospitality Trading,EG,SME,Education,Giza,T02,2023-02-03
146,CUST-00146,Lotus Government Services Trading,EG,SME,Education,Alexandria,T02,2021-03-27
147,CUST-00147,Nile Retail Holding,EG,SME,Hospitality,Cairo,T02,2021-06-04
148,CUST-00148,Sinai Construction Group,EG,SME,Education,Cairo,T02,2019-10-12
149,CUST-00149,Lotus Logistics Trading,EG,SME,Financial Services,Alexandria,T02,2019-08-17
150,CUST-00150,Lotus Real Estate Group,EG,SME,Real Estate,New Cairo,T02,2020-11-28
151,CUST-00151,Pyramid Education Enterprises,EG,SME,Manufacturing,Cairo,T02,2022-12-16
152,CUST-00152,Alex Hospitality Services,EG,SME,Real Estate,Alexandria,T02,2022-02-14
153,CUST-00153,Memphis Manufacturing Partners,EG,SME,Real Estate,Giza,T02,2020-07-07
154,CUST-00154,Sinai Energy Enterprises,EG,SME,Energy,Cairo,T02,2022-12-20
155,CUST-00155,Nile Construction Co.,EG,SME,Financial Services,Cairo,T02,2020-12-24
156,CUST-00156,Alex Energy Partners,EG,SME,Financial Services,New Cairo,T02,2023-09-28
157,CUST-00157,Horus Real Estate Group,EG,SME,Financial Services,Cairo,T02,2023-01-17
158,CUST-00158,Nile Education Services,EG,SME,Construction,Giza,T02,2022-01-23
159,CUST-00159,Pyramid Hospitality Services,EG,SME,Government Services,New Cairo,T02,2023-09-26
160,CUST-00160,Memphis Education Solutions,EG,SME,Retail,Giza,T02,2020-12-14
161,CUST-00161,Sinai Real Estate Enterprises,EG,SME,Energy,Giza,T02,2019-07-13
162,CUST-00162,Alex Government Services Group,EG,SME,Media,Giza,T02,2021-08-05
163,CUST-00163,Pyramid Manufacturing Trading,EG,SME,Real Estate,Giza,T02,2019-01-17
164,CUST-00164,Sinai Media Co.,EG,SME,Financial Services,Cairo,T02,2020-11-21
165,CUST-00165,Horus Retail Solutions,EG,SME,Manufacturing,Cairo,T02,2021-11-09
166,CUST-00166,Lotus Real Estate Partners,EG,SME,Hospitality,New Cairo,T02,2023-04-14
167,CUST-00167,Alex Retail Co.,EG,SME,Government Services,Giza,T02,2023-08-01
168,CUST-00168,Delta Government Services Trading,EG,SME,Energy,Giza,T02,2021-05-04
169,CUST-00169,Lotus Government Services Holding,EG,SME,Logistics,New Cairo,T02,2019-12-04
170,CUST-00170,Memphis Healthcare Enterprises,EG,SME,Healthcare,Alexandria,T02,2019-02-11
171,CUST-00171,Lotus Healthcare Services,EG,SME,Real Estate,Giza,T02,2021-04-28
172,CUST-00172,Nile Education Group,EG,SME,Hospitality,Alexandria,T02,2023-02-07
173,CUST-00173,Alex Government Services Services,EG,SME,Education,New Cairo,T02,2019-02-04
174,CUST-00174,Lotus Healthcare Solutions,EG,SME,Education,Cairo,T02,2023-05-25
175,CUST-00175,Delta Construction Group,EG,SME,Retail,Giza,T02,2022-04-17
176,CUST-00176,Lotus Government Services Solutions,EG,SME,Government Services,Alexandria,T02,2022-10-09
177,CUST-00177,Alex Retail Services,EG,SME,Education,Cairo,T02,2020-11-26
178,CUST-00178,Memphis Government Services Enterprises,EG,SME,Government Services,Alexandria,T02,2022-02-09
179,CUST-00179,Sinai Construction Services,EG,SME,Construction,Cairo,T02,2021-09-13
180,CUST-00180,Delta Construction Solutions,EG,SME,Education,Alexandria,T02,2021-12-16
181,CUST-00181,Horus Financial Services Co.,EG,SME,Government Services,New Cairo,T02,2019-04-14
182,CUST-00182,Memphis Financial Services Partners,EG,SME,Retail,Alexandria,T02,2019-06-14
183,CUST-00183,Lotus Media Co.,EG,SME,Manufacturing,Alexandria,T02,2019-09-25
184,CUST-00184,Nile Hospitality Holding,EG,SME,Energy,Cairo,T02,2023-08-12
185,CUST-00185,Alex Healthcare Solutions,EG,SME,Construction,Giza,T02,2023-02-22
186,CUST-00186,Nile Government Services Solutions,EG,SME,Financial Services,Alexandria,T02,2023-10-09
187,CUST-00187,Pyramid Real Estate Services,EG,SME,Media,Alexandria,T02,2019-03-26
188,CUST-00188,Horus Education Holding,EG,SME,Real Estate,New Cairo,T02,2019-10-28
189,CUST-00189,Lotus Government Services Enterprises,EG,SME,Retail,Giza,T02,2020-12-11
190,CUST-00190,Nile Construction Enterprises,EG,SME,Education,Giza,T02,2021-06-14
191,CUST-00191,Memphis Manufacturing Group,EG,SME,Retail,New Cairo,T02,2019-09-02
192,CUST-00192,Sinai Energy Co.,EG,SME,Retail,Giza,T02,2023-08-21
193,CUST-00193,Nile Financial Services Solutions,EG,SME,Hospitality,New Cairo,T02,2019-03-26
194,CUST-00194,Memphis Education Trading,EG,SME,Real Estate,Alexandria,T02,2023-08-30
195,CUST-00195,Delta Logistics Co.,EG,SME,Government Services,Alexandria,T02,2019-10-25
196,CUST-00196,Lotus Retail Holding,EG,SME,Manufacturing,Giza,T02,2022-09-06
197,CUST-00197,Pyramid Hospitality Partners,EG,SME,Manufacturing,New Cairo,T02,2022-03-19
198,CUST-00198,Sinai Retail Enterprises,EG,SME,Energy,Alexandria,T02,2022-08-14
199,CUST-00199,Lotus Education Group,EG,SME,Manufacturing,New Cairo,T02,2021-09-21
200,CUST-00200,Nile Real Estate Solutions,EG,SME,Manufacturing,Alexandria,T02,2019-01-04
201,CUST-00201,Pyramid Real Estate Trading,EG,SME,Retail,New Cairo,T02,2022-10-15
202,CUST-00202,Alex Hospitality Holding,EG,SME,Financial Services,Cairo,T02,2022-05-17
203,CUST-00203,Memphis Logistics Group,EG,SME,Financial Services,Giza,T02,2023-09-15
204,CUST-00204,Memphis Hospitality Holding,EG,SME,Energy,Giza,T02,2023-08-06
205,CUST-00205,Memphis Logistics Co.,EG,SME,Healthcare,New Cairo,T02,2020-08-20
206,CUST-00206,Pyramid Healthcare Services,EG,SME,Education,New Cairo,T02,2023-02-13
207,CUST-00207,Sinai Retail Co.,EG,SME,Logistics,Giza,T02,2019-01-26
208,CUST-00208,Nile Financial Services Co.,EG,SME,Financial Services,Alexandria,T02,2023-10-02
209,CUST-00209,Nile Media Services,EG,SME,Energy,Alexandria,T02,2019-11-28
210,CUST-00210,Memphis Hospitality Services,EG,SME,Government Services,Giza,T02,2021-01-04
211,CUST-00211,Horus Manufacturing Enterprises,EG,SME,Real Estate,Giza,T02,2022-03-02
212,CUST-00212,Alex Financial Services Partners,EG,SME,Education,New Cairo,T02,2022-12-08
213,CUST-00213,Lotus Financial Services Trading,EG,SME,Energy,Alexandria,T02,2019-09-05
214,CUST-00214,Sinai Manufacturing Solutions,EG,SME,Education,Giza,T02,2020-04-02
215,CUST-00215,Sinai Healthcare Enterprises,EG,SME,Hospitality,Cairo,T02,2020-09-14
216,CUST-00216,Lotus Hospitality Holding,EG,SME,Real Estate,New Cairo,T02,2023-09-07
217,CUST-00217,Horus Media Services,EG,SME,Logistics,Giza,T02,2021-10-21
218,CUST-00218,Nile Government Services Services,EG,SME,Media,Giza,T02,2021-11-26
219,CUST-00219,Nile Government Services Holding,EG,SME,Retail,Alexandria,T02,2022-02-16
220,CUST-00220,Alex Healthcare Co.,EG,SME,Manufacturing,New Cairo,T02,2021-09-09
221,CUST-00221,Alex Energy Trading,EG,SME,Manufacturing,New Cairo,T02,2022-06-28
222,CUST-00222,Memphis Retail Trading,EG,SME,Manufacturing,Giza,T02,2020-06-01
223,CUST-00223,Alex Financial Services Solutions,EG,SME,Manufacturing,Cairo,T02,2019-04-14
224,CUST-00224,Horus Real Estate Trading,EG,SME,Energy,Alexandria,T02,2022-09-02
225,CUST-00225,Alex Financial Services Enterprises,EG,SME,Energy,Alexandria,T02,2022-04-18
226,CUST-00226,Nile Manufacturing Services,EG,SME,Financial Services,Cairo,T02,2021-06-01
227,CUST-00227,Nile Manufacturing Holding,EG,SME,Media,Cairo,T02,2020-06-05
228,CUST-00228,Delta Logistics Holding,EG,SME,Real Estate,Alexandria,T02,2022-11-02
229,CUST-00229,Alex Real Estate Trading,EG,SME,Healthcare,Giza,T02,2022-08-23
230,CUST-00230,Memphis Healthcare Solutions,EG,SME,Education,Cairo,T02,2020-05-27
231,CUST-00231,Nile Financial Services Enterprises,EG,SME,Retail,Alexandria,T02,2020-10-25
232,CUST-00232,Delta Real Estate Holding,EG,SME,Logistics,Giza,T02,2022-10-28
233,CUST-00233,Pyramid Logistics Solutions,EG,SME,Real Estate,Cairo,T02,2019-01-09
234,CUST-00234,Horus Retail Group,EG,SME,Manufacturing,Alexandria,T02,2021-11-26
235,CUST-00235,Lotus Manufacturing Enterprises,EG,SME,Manufacturing,Cairo,T02,2020-12-29
236,CUST-00236,Nile Government Services Enterprises,EG,SME,Government Services,Giza,T02,2021-02-08
237,CUST-00237,Nile Energy Enterprises,EG,SME,Energy,Alexandria,T02,2019-09-27
238,CUST-00238,Memphis Retail Co.,EG,SME,Financial Services,Cairo,T02,2021-10-01
239,CUST-00239,Pyramid Education Services,EG,SME,Real Estate,Cairo,T02,2020-08-07
240,CUST-00240,Memphis Financial Services Holding,EG,SME,Retail,New Cairo,T02,2022-05-14
241,CUST-00241,Memphis Construction Trading,EG,SME,Real Estate,Giza,T02,2022-03-29
242,CUST-00242,Alex Real Estate Group,EG,SME,Manufacturing,Cairo,T02,2019-12-04
243,CUST-00243,Delta Healthcare Trading,EG,SME,Construction,Giza,T02,2019-07-08
244,CUST-00244,Memphis Hospitality Trading,EG,SME,Construction,Cairo,T02,2020-06-16
245,CUST-00245,Nile Retail Services,EG,SME,Hospitality,Cairo,T02,2022-08-15
246,CUST-00246,Memphis Hospitality Enterprises,EG,SME,Retail,Alexandria,T02,2019-01-20
247,CUST-00247,Horus Manufacturing Group,EG,SME,Energy,New Cairo,T02,2020-03-21
248,CUST-00248,Delta Retail Holding,EG,SME,Healthcare,Cairo,T02,2023-10-03
249,CUST-00249,Pyramid Healthcare Holding,EG,SME,Financial Services,Cairo,T02,2020-12-07
250,CUST-00250,Nile Hospitality Partners,EG,SME,Media,Alexandria,T02,2022-11-15
251,CUST-00251,Memphis Manufacturing Trading,EG,SME,Government Services,Cairo,T02,2020-10-18
252,CUST-00252,Nile Education Co.,EG,SME,Healthcare,Alexandria,T02,2023-06-09
253,CUST-00253,Memphis Government Services Holding,EG,SME,Energy,Alexandria,T02,2023-05-22
254,CUST-00254,Delta Energy Solutions,EG,SME,Manufacturing,Cairo,T02,2019-11-28
255,CUST-00255,Delta Real Estate Trading,EG,SME,Construction,Cairo,T02,2020-02-05
256,CUST-00256,Sinai Government Services Services,EG,SME,Media,Alexandria,T02,2021-02-09
257,CUST-00257,Memphis Construction Partners,EG,SME,Logistics,New Cairo,T02,2020-09-21
258,CUST-00258,Delta Manufacturing Partners,EG,SME,Hospitality,Giza,T02,2021-06-24
259,CUST-00259,Sinai Real Estate Trading,EG,SME,Media,New Cairo,T02,2021-07-03
260,CUST-00260,Memphis Healthcare Trading,EG,SME,Government Services,New Cairo,T02,2020-01-07
261,CUST-00261,Alex Retail Partners,EG,SME,Retail,Giza,T02,2022-05-02
262,CUST-00262,Sinai Education Trading,EG,SME,Media,Alexandria,T02,2019-02-16
263,CUST-00263,Lotus Healthcare Holding,EG,SME,Education,Cairo,T02,2022-05-06
264,CUST-00264,Memphis Media Services,EG,SME,Government Services,Giza,T02,2021-10-01
265,CUST-00265,Pyramid Healthcare Co.,EG,SME,Manufacturing,New Cairo,T02,2023-03-24
266,CUST-00266,Pyramid Education Co.,EG,SME,Real Estate,Cairo,T02,2020-11-23
267,CUST-00267,Pyramid Financial Services Enterprises,EG,SME,Education,Giza,T02,2022-07-02
268,CUST-00268,Lotus Government Services Partners,EG,SME,Energy,New Cairo,T02,2021-11-08
269,CUST-00269,Sinai Manufacturing Group,EG,SME,Manufacturing,Cairo,T02,2023-04-07
270,CUST-00270,Sinai Healthcare Group,EG,SME,Manufacturing,New Cairo,T02,2021-01-13
271,CUST-00271,Delta Manufacturing Enterprises,EG,SME,Government Services,Giza,T02,2023-02-04
272,CUST-00272,Horus Logistics Partners,EG,SME,Financial Services,New Cairo,T02,2020-03-24
273,CUST-00273,Pyramid Energy Services,EG,SME,Healthcare,New Cairo,T02,2022-11-24
274,CUST-00274,Pyramid Financial Services Solutions,EG,SME,Manufacturing,New Cairo,T02,2020-10-30
275,CUST-00275,Delta Hospitality Enterprises,EG,SME,Healthcare,Cairo,T02,2021-12-03
276,CUST-00276,Pyramid Real Estate Solutions,EG,SME,Logistics,Alexandria,T02,2019-11-12
277,CUST-00277,Pyramid Manufacturing Partners,EG,SME,Healthcare,Alexandria,T02,2022-05-19
278,CUST-00278,Memphis Healthcare Partners,EG,SME,Construction,New Cairo,T02,2023-03-19
279,CUST-00279,Memphis Logistics Holding,EG,SME,Financial Services,Giza,T02,2022-05-24
280,CUST-00280,Delta Financial Services Partners,EG,SME,Real Estate,Cairo,T02,2020-09-30
281,CUST-00281,Delta Real Estate Partners,EG,SME,Healthcare,Giza,T02,2023-06-28
282,CUST-00282,Nile Construction Group,EG,SME,Healthcare,Cairo,T02,2019-03-06
283,CUST-00283,Sinai Hospitality Enterprises,EG,SME,Financial Services,Cairo,T02,2019-08-07
284,CUST-00284,Pyramid Retail Services,EG,SME,Hospitality,New Cairo,T02,2023-08-04
285,CUST-00285,Memphis Construction Enterprises,EG,SME,Retail,Alexandria,T02,2019-05-30
286,CUST-00286,Memphis Education Enterprises,EG,SME,Financial Services,Alexandria,T02,2019-07-24
287,CUST-00287,Memphis Financial Services Services,EG,SME,Manufacturing,New Cairo,T02,2023-01-26
288,CUST-00288,Nile Real Estate Enterprises,EG,SME,Education,Cairo,T02,2021-04-27
289,CUST-00289,Nile Logistics Holding,EG,SME,Real Estate,Cairo,T02,2020-12-28
290,CUST-00290,Pyramid Education Holding,EG,SME,Retail,Cairo,T02,2021-07-13
291,CUST-00291,Delta Retail Enterprises,EG,SME,Education,Giza,T02,2022-05-23
292,CUST-00292,Delta Healthcare Services,EG,SME,Logistics,Cairo,T02,2022-09-21
