line_id,document_no,doc_type,original_document_no,date_key,month_key,rep_key,team_key,customer_key,product_key,country_code,currency,fx_rate,quantity,unit_list_price_usd,discount_pct,gross_amount_usd,discount_amount_usd,net_amount_usd,cost_amount_usd,gross_margin_usd,commission_weight,days_since_original,is_month_end_window,net_amount_local
L0000211,INV-2024-000099,INV,,20240102,202401,24,2,322,17,EG,EGP,30.9,2,450.0,0.0861,900.0,77.49,822.51,675.0,147.51,1.0,,0,25415.56
L0000212,INV-2024-000099,INV,,20240102,202401,24,2,322,1,EG,EGP,30.9,1,2400.0,0.1306,2400.0,313.44,2086.56,1320.0,766.56,1.0,,0,64474.7
L0000335,INV-2024-000169,INV,,20240102,202401,34,3,361,15,EG,EGP,30.9,5,1100.0,0.1906,5500.0,1048.3,4451.7,4290.0,161.7,1.0,,0,137557.53
L0000336,INV-2024-000169,INV,,20240102,202401,34,3,361,17,EG,EGP,30.9,1,450.0,0.2017,450.0,90.77,359.23,337.5,21.73,1.0,,0,11100.36
L0000410,INV-2024-000198,INV,,20240102,202401,40,4,406,8,SA,USD,1.0,3,1500.0,0.128,4500.0,576.0,3924.0,3150.0,774.0,1.0,,0,3924.0
L0000542,INV-2024-000266,INV,,20240102,202401,51,5,457,1,SA,SAR,3.75,1,2400.0,0.0479,2400.0,114.96,2285.04,1320.0,965.04,1.0,,0,8568.9
L0000543,INV-2024-000266,INV,,20240102,202401,51,5,457,16,SA,SAR,3.75,1,2200.0,0.0663,2200.0,145.86,2054.14,1760.0,294.14,1.0,,0,7703.02
L0000594,INV-2024-000291,INV,,20240102,202401,54,5,595,7,SA,SAR,3.75,2,1200.0,0.0605,2400.0,145.2,2254.8,720.0,1534.8,1.0,,0,8455.5
L0000595,INV-2024-000291,INV,,20240102,202401,54,5,595,10,SA,SAR,3.75,1,3000.0,0.0871,3000.0,261.3,2738.7,900.0,1838.7,1.25,,0,10270.12
L0000643,INV-2024-000316,INV,,20240102,202401,57,6,741,20,AE,AED,3.6725,2,1500.0,0.0938,3000.0,281.4,2718.6,1500.0,1218.6,1.0,,0,9984.06
L0000644,INV-2024-000316,INV,,20240102,202401,57,6,741,9,AE,AED,3.6725,1,6000.0,0.1304,6000.0,782.4,5217.6,2100.0,3117.6,1.25,,0,19161.64
L0000645,INV-2024-000316,INV,,20240102,202401,57,6,741,7,AE,AED,3.6725,12,1200.0,0.1002,14400.0,1442.88,12957.12,4320.0,8637.12,1.0,,0,47585.02
L0000657,INV-2024-000321,INV,,20240102,202401,57,6,755,3,AE,AED,3.6725,2,3600.0,0.1225,7200.0,882.0,6318.0,3240.0,3078.0,1.0,,0,23202.86
L0000658,INV-2024-000321,INV,,20240102,202401,57,6,755,5,AE,AED,3.6725,1,1800.0,0.0928,1800.0,167.04,1632.96,720.0,912.96,1.0,,0,5997.05
L0000659,INV-2024-000321,INV,,20240102,202401,57,6,755,8,AE,AED,3.6725,1,1500.0,0.1032,1500.0,154.8,1345.2,1050.0,295.2,1.0,,0,4940.25
L0000660,INV-2024-000321,INV,,20240102,202401,57,6,755,12,AE,AED,3.6725,2,4800.0,0.1025,9600.0,984.0,8616.0,4320.0,4296.0,1.25,,0,31642.26
L0000672,INV-2024-000325,INV,,20240102,202401,58,6,706,5,AE,AED,3.6725,7,1800.0,0.1373,12600.0,1729.98,10870.02,5040.0,5830.02,1.0,,0,39920.15
L0000673,INV-2024-000325,INV,,20240102,202401,58,6,706,12,AE,AED,3.6725,1,4800.0,0.1115,4800.0,535.2,4264.8,2160.0,2104.8,1.25,,0,15662.48
L0000688,INV-2024-000329,INV,,20240102,202401,59,6,741,14,AE,AED,3.6725,2,9600.0,0.1445,19200.0,2774.4,16425.6,9600.0,6825.6,1.25,,0,60323.02
L0000689,INV-2024-000329,INV,,20240102,202401,59,6,741,7,AE,AED,3.6725,1,1200.0,0.1555,1200.0,186.6,1013.4,360.0,653.4,1.0,,0,3721.71
L0000690,INV-2024-000329,INV,,20240102,202401,59,6,741,6,AE,AED,3.6725,1,7500.0,0.1436,7500.0,1077.0,6423.0,2850.0,3573.0,1.0,,0,23588.47
L0000759,INV-2024-000358,INV,,20240102,202401,66,7,799,18,AE,AED,3.6725,6,800.0,0.1811,4800.0,869.28,3930.72,2640.0,1290.72,1.0,,0,14435.57
L0000760,INV-2024-000358,INV,,20240102,202401,66,7,799,7,AE,AED,3.6725,1,1200.0,0.1841,1200.0,220.92,979.08,360.0,619.08,1.0,,0,3595.67
L0000761,INV-2024-000358,INV,,20240102,202401,66,7,799,5,AE,AED,3.6725,1,1800.0,0.1505,1800.0,270.9,1529.1,720.0,809.1,1.0,,0,5615.62
L0000762,INV-2024-000358,INV,,20240102,202401,66,7,799,16,AE,AED,3.6725,2,2200.0,0.1825,4400.0,803.0,3597.0,3520.0,77.0,1.0,,0,13209.98
L0000768,INV-2024-000361,INV,,20240102,202401,66,7,804,4,AE,AED,3.6725,1,9000.0,0.1927,9000.0,1734.3,7265.7,4950.0,2315.7,1.0,,0,26683.28
L0000783,INV-2024-000370,INV,,20240102,202401,67,7,810,1,AE,AED,3.6725,1,2400.0,0.1684,2400.0,404.16,1995.84,1320.0,675.84,1.0,,0,7329.72
L0000784,INV-2024-000370,INV,,20240102,202401,67,7,810,17,AE,AED,3.6725,11,450.0,0.185,4949.99,915.75,4034.24,3712.5,321.74,1.0,,0,14815.74
L0000854,INV-2024-000407,INV,,20240102,202401,74,8,886,10,OM,OMR,0.3845,1,3000.0,0.0347,3000.0,104.11,2895.89,900.0,1995.89,1.25,,0,1113.47
L0000855,INV-2024-000407,INV,,20240102,202401,74,8,886,7,OM,OMR,0.3845,1,1200.0,0.0401,1200.0,48.11,1151.89,360.0,791.89,1.0,,0,442.9
L0000016,INV-2024-000005,INV,,20240103,202401,10,1,32,4,EG,EGP,30.9,2,9000.0,0.1509,18000.0,2716.2,15283.8,9900.0,5383.8,1.0,,0,472269.42
L0000155,INV-2024-000065,INV,,20240103,202401,20,2,139,1,EG,EGP,30.9,1,2400.0,0.0727,2400.0,174.48,2225.52,1320.0,905.52,1.0,,0,68768.57
L0000156,INV-2024-000065,INV,,20240103,202401,20,2,139,7,EG,EGP,30.9,1,1200.0,0.0401,1200.0,48.12,1151.88,360.0,791.88,1.0,,0,35593.09
L0000186,INV-2024-000084,INV,,20240103,202401,22,2,102,17,EG,EGP,30.9,1,450.0,0.0657,450.0,29.57,420.43,337.5,82.93,1.0,,0,12991.44
L0000187,INV-2024-000084,INV,,20240103,202401,22,2,102,7,EG,EGP,30.9,2,1200.0,0.0303,2400.0,72.72,2327.28,720.0,1607.28,1.0,,0,71912.95
L0000305,INV-2024-000154,INV,,20240103,202401,30,3,358,1,EG,EGP,30.9,1,2400.0,0.1447,2400.0,347.28,2052.72,1320.0,732.72,1.0,,0,63429.05
L0000306,INV-2024-000154,INV,,20240103,202401,30,3,358,16,EG,EGP,30.9,2,2200.0,0.1816,4400.0,799.04,3600.96,3520.0,80.96,1.0,,0,111269.66
L0000307,INV-2024-000154,INV,,20240103,202401,30,3,358,1,EG,EGP,30.9,1,2400.0,0.197,2400.0,472.8,1927.2,1320.0,607.2,1.0,,0,59550.48
L0000313,INV-2024-000159,INV,,20240103,202401,32,3,339,10,EG,EGP,30.9,1,3000.0,0.1816,3000.0,544.8,2455.2,900.0,1555.2,1.25,,0,75865.68
L0000317,INV-2024-000162,INV,,20240103,202401,33,3,332,17,EG,EGP,30.9,9,450.0,0.1699,4050.0,688.1,3361.9,3037.5,324.4,1.0,,0,103882.86
L0000318,INV-2024-000162,INV,,20240103,202401,33,3,332,1,EG,EGP,30.9,1,2400.0,0.1482,2400.0,355.68,2044.32,1320.0,724.32,1.0,,0,63169.49
L0000319,INV-2024-000162,INV,,20240103,202401,33,3,332,7,EG,EGP,30.9,1,1200.0,0.1948,1200.0,233.76,966.24,360.0,606.24,1.0,,0,29856.82
L0000320,INV-2024-000162,INV,,20240103,202401,33,3,332,7,EG,EGP,30.9,2,1200.0,0.131,2400.0,314.4,2085.6,720.0,1365.6,1.0,,0,64445.04
L0000414,INV-2024-000201,INV,,20240103,202401,41,4,384,11,SA,SAR,3.75,2,18000.0,0.0441,36000.0,1587.6,34412.4,14400.0,20012.4,1.25,,0,129046.5
L0000433,INV-2024-000207,INV,,20240103,202401,41,4,443,19,SA,SAR,3.75,3,5500.0,0.0657,16500.0,1084.05,15415.95,7425.0,7990.95,1.0,,0,57809.81
L0000434,INV-2024-000207,INV,,20240103,202401,41,4,443,10,SA,SAR,3.75,2,3000.0,0.0574,6000.0,344.4,5655.6,1800.0,3855.6,1.25,,0,21208.5
L0000489,INV-2024-000230,INV,,20240103,202401,46,5,643,12,SA,SAR,3.75,1,4800.0,0.0769,4800.0,369.12,4430.88,2160.0,2270.88,1.25,,0,16615.8
L0000490,INV-2024-000230,INV,,20240103,202401,46,5,643,15,SA,SAR,3.75,1,1100.0,0.0592,1100.0,65.12,1034.88,858.0,176.88,1.0,,0,3880.8
L0000801,INV-2024-000379,INV,,20240103,202401,70,7,806,19,AE,AED,3.6725,2,5500.0,0.1106,11000.0,1216.6,9783.4,4950.0,4833.4,1.0,,0,35929.54
L0000019,INV-2024-000007,INV,,20240104,202401,11,1,25,7,EG,EGP,30.9,1,1200.0,0.0767,1200.0,92.04,1107.96,360.0,747.96,1.0,,0,34235.96
L0000020,INV-2024-000007,INV,,20240104,202401,11,1,25,7,EG,EGP,30.9,3,1200.0,0.1206,3600.0,434.16,3165.84,1080.0,2085.84,1.0,,0,97824.46
L0000021,INV-2024-000007,INV,,20240104,202401,11,1,25,5,EG,EGP,30.9,2,1800.0,0.0725,3600.0,261.0,3339.0,1440.0,1899.0,1.0,,0,103175.1
L0000116,INV-2024-000043,INV,,20240104,202401,18,2,311,17,EG,EGP,30.9,2,450.0,0.0269,900.0,24.21,875.79,675.0,200.79,1.0,,0,27061.91
L0000117,INV-2024-000043,INV,,20240104,202401,18,2,311,12,EG,EGP,30.9,1,4800.0,0.0444,4800.0,213.12,4586.88,2160.0,2426.88,1.25,,0,141734.59
L0000157,INV-2024-000066,INV,,20240104,202401,21,2,262,7,EG,EGP,30.9,1,1200.0,0.0444,1200.0,53.28,1146.72,360.0,786.72,1.0,,0,35433.65
L0000158,INV-2024-000066,INV,,20240104,202401,21,2,262,1,EG,EGP,30.9,1,2400.0,0.0393,2400.0,94.32,2305.68,1320.0,985.68,1.0,,0,71245.51
L0000184,INV-2024-000082,INV,,20240104,202401,22,2,133,12,EG,EGP,30.9,1,4800.0,0.0,4800.0,0.0,4800.0,2160.0,2640.0,1.25,,0,148320.0
L0000233,INV-2024-000112,INV,,20240104,202401,25,2,157,15,EG,EGP,30.9,2,1100.0,0.0494,2200.0,108.68,2091.32,1716.0,375.32,1.0,,0,64621.79
L0000264,INV-2024-000131,INV,,20240104,202401,27,2,148,12,EG,EGP,30.9,1,4800.0,0.0448,4800.0,215.04,4584.96,2160.0,2424.96,1.25,,0,141675.26
L0000265,INV-2024-000131,INV,,20240104,202401,27,2,148,17,EG,EGP,30.9,1,450.0,0.0352,450.0,15.84,434.16,337.5,96.66,1.0,,0,13415.54
L0000266,INV-2024-000131,INV,,20240104,202401,27,2,148,17,EG,EGP,30.9,2,450.0,0.0136,900.0,12.24,887.76,675.0,212.76,1.0,,0,27431.78
L0000294,INV-2024-000148,INV,,20240104,202401,30,3,366,1,EG,EGP,30.9,3,2400.0,0.1682,7200.0,1211.04,5988.96,3960.0,2028.96,1.0,,0,185058.86
L0000301,INV-2024-000152,INV,,20240104,202401,30,3,341,16,EG,EGP,30.9,3,2200.0,0.2111,6600.0,1393.26,5206.74,5280.0,-73.26,1.0,,0,160888.27
L0000347,INV-2024-000175,INV,,20240104,202401,35,3,360,15,EG,EGP,30.9,1,1100.0,0.2023,1100.0,222.53,877.47,858.0,19.47,1.0,,0,27113.82
L0000348,INV-2024-000175,INV,,20240104,202401,35,3,360,3,EG,EGP,30.9,1,3600.0,0.1864,3600.0,671.04,2928.96,1620.0,1308.96,1.0,,0,90504.86
L0000349,INV-2024-000176,INV,,20240104,202401,35,3,332,10,EG,EGP,30.9,1,3000.0,0.1999,3000.0,599.7,2400.3,900.0,1500.3,1.25,,0,74169.27
L0000457,INV-2024-000219,INV,,20240104,202401,44,4,394,8,SA,SAR,3.75,15,1500.0,0.165,22500.0,3712.5,18787.5,15750.0,3037.5,1.0,,0,70453.12
L0000458,INV-2024-000219,INV,,20240104,202401,44,4,394,19,SA,SAR,3.75,4,5500.0,0.1593,22000.0,3504.6,18495.4,9900.0,8595.4,1.0,,0,69357.75
L0000459,INV-2024-000219,INV,,20240104,202401,44,4,394,10,SA,SAR,3.75,1,3000.0,0.1435,3000.0,430.5,2569.5,900.0,1669.5,1.25,,0,9635.62
L0000695,INV-2024-000331,INV,,20240104,202401,59,6,723,10,AE,AED,3.6725,10,3000.0,0.1769,30000.0,5307.0,24693.0,9000.0,15693.0,1.25,,0,90685.04
L0000775,INV-2024-000365,INV,,20240104,202401,67,7,799,10,AE,AED,3.6725,4,3000.0,0.1715,12000.0,2058.0,9942.0,3600.0,6342.0,1.25,,0,36512.0
L0000853,INV-2024-000406,INV,,20240104,202401,74,8,901,12,OM,OMR,0.3845,1,4800.0,0.0282,4800.0,135.37,4664.63,2160.0,2504.63,1.25,,0,1793.55
L0000022,INV-2024-000008,INV,,20240105,202401,11,1,4,12,EG,EGP,30.9,2,4800.0,0.0772,9600.0,741.12,8858.88,4320.0,4538.88,1.25,,0,273739.39
L0000023,INV-2024-000008,INV,,20240105,202401,11,1,4,12,EG,EGP,30.9,1,4800.0,0.0897,4800.0,430.56,4369.44,2160.0,2209.44,1.25,,0,135015.7
L0000024,INV-2024-000008,INV,,20240105,202401,11,1,4,5,EG,EGP,30.9,8,1800.0,0.1163,14400.0,1674.72,12725.28,5760.0,6965.28,1.0,,0,393211.15
L0000127,INV-2024-000049,INV,,20240105,202401,19,2,237,7,EG,EGP,30.9,1,1200.0,0.045,1200.0,54.0,1146.0,360.0,786.0,1.0,,0,35411.4
L0000285,INV-2024-000143,INV,,20240105,202401,29,3,351,16,EG,EGP,30.9,1,2200.0,0.2041,2200.0,449.02,1750.98,1760.0,-9.02,1.0,,0,54105.28
L0000286,INV-2024-000143,INV,,20240105,202401,29,3,351,7,EG,EGP,30.9,1,1200.0,0.1871,1200.0,224.52,975.48,360.0,615.48,1.0,,0,30142.33
L0000484,INV-2024-000227,INV,,20240105,202401,45,4,434,8,SA,SAR,3.75,19,1500.0,0.122,28500.0,3477.0,25023.0,19950.0,5073.0,1.0,,0,93836.25
L0000554,INV-2024-000272,INV,,20240105,202401,51,5,615,8,SA,SAR,3.75,4,1500.0,0.052,6000.0,312.0,5688.0,4200.0,1488.0,1.0,,0,21330.0
L0000615,INV-2024-000303,INV,,20240105,202401,55,5,576,1,SA,SAR,3.75,1,2400.0,0.0207,2400.0,49.68,2350.32,1320.0,1030.32,1.0,,0,8813.7
L0000616,INV-2024-000303,INV,,20240105,202401,55,5,576,7,SA,SAR,3.75,3,1200.0,0.0,3600.0,0.0,3600.0,1080.0,2520.0,1.0,,0,13500.0
L0000674,INV-2024-000326,INV,,20240105,202401,59,6,752,12,AE,AED,3.6725,1,4800.0,0.1307,4800.0,627.36,4172.64,2160.0,2012.64,1.25,,0,15324.02
L0000675,INV-2024-000326,INV,,20240105,202401,59,6,752,12,AE,AED,3.6725,1,4800.0,0.1596,4800.0,766.08,4033.92,2160.0,1873.92,1.25,,0,14814.57
L0000676,INV-2024-000326,INV,,20240105,202401,59,6,752,20,AE,AED,3.6725,4,1500.0,0.1773,6000.0,1063.8,4936.2,3000.0,1936.2,1.0,,0,18128.19
L0000677,INV-2024-000326,INV,,20240105,202401,59,6,752,19,AE,AED,3.6725,2,5500.0,0.1552,11000.0,1707.2,9292.8,4950.0,4342.8,1.0,,0,34127.81
L0000678,INV-2024-000326,INV,,20240105,202401,59,6,752,18,AE,AED,3.6725,1,800.0,0.0989,800.0,79.12,720.88,440.0,280.88,1.0,,0,2647.43
L0000778,INV-2024-000367,INV,,20240105,202401,67,7,780,5,AE,AED,3.6725,5,1800.0,0.151,9000.0,1359.0,7641.0,3600.0,4041.0,1.0,,0,28061.57
L0000808,INV-2024-000384,INV,,20240105,202401,70,7,819,8,AE,AED,3.6725,5,1500.0,0.1376,7500.0,1032.0,6468.0,5250.0,1218.0,1.0,,0,23753.73
L0000025,INV-2024-000009,INV,,20240106,202401,11,1,41,1,EG,EGP,30.9,5,2400.0,0.0853,12000.0,1023.6,10976.4,6600.0,4376.4,1.0,,0,339170.76
L0000026,INV-2024-000009,INV,,20240106,202401,11,1,41,12,EG,EGP,30.9,1,4800.0,0.095,4800.0,456.0,4344.0,2160.0,2184.0,1.25,,0,134229.6
L0000194,INV-2024-000088,INV,,20240106,202401,23,2,120,3,EG,EGP,30.9,1,3600.0,0.1063,3600.0,382.68,3217.32,1620.0,1597.32,1.0,,0,99415.19
L0000195,INV-2024-000088,INV,,20240106,202401,23,2,120,10,EG,EGP,30.9,1,3000.0,0.1029,3000.0,308.7,2691.3,900.0,1791.3,1.25,,0,83161.17
L0000437,INV-2024-000209,INV,,20240106,202401,42,4,380,13,SA,SAR,3.75,1,12000.0,0.0748,12000.0,897.6,11102.4,5040.0,6062.4,1.25,,0,41634.0
L0000488,INV-2024-000229,INV,,20240106,202401,46,5,659,12,SA,SAR,3.75,1,4800.0,0.0226,4800.0,108.48,4691.52,2160.0,2531.52,1.25,,0,17593.2
L0000539,INV-2024-000263,INV,,20240106,202401,50,5,656,1,SA,SAR,3.75,2,2400.0,0.0759,4800.0,364.32,4435.68,2640.0,1795.68,1.0,,0,16633.8
L0000541,INV-2024-000265,INV,,20240106,202401,51,5,462,7,SA,SAR,3.75,2,1200.0,0.0347,2400.0,83.28,2316.72,720.0,1596.72,1.0,,0,8687.7
L0000625,INV-2024-000309,INV,,20240106,202401,55,5,690,5,SA,SAR,3.75,1,1800.0,0.0403,1800.0,72.54,1727.46,720.0,1007.46,1.0,,0,6477.98
L0000745,INV-2024-000352,INV,,20240106,202401,65,7,779,15,AE,AED,3.6725,1,1100.0,0.1502,1100.0,165.22,934.78,858.0,76.78,1.0,,0,3432.98
L0000746,INV-2024-000352,INV,,20240106,202401,65,7,779,3,AE,AED,3.6725,2,3600.0,0.1651,7200.0,1188.72,6011.28,3240.0,2771.28,1.0,,0,22076.43
L0000747,INV-2024-000352,INV,,20240106,202401,65,7,779,7,AE,AED,3.6725,1,1200.0,0.1349,1200.0,161.88,1038.12,360.0,678.12,1.0,,0,3812.5
L0000752,INV-2024-000356,INV,,20240106,202401,66,7,785,5,AE,AED,3.6725,1,1800.0,0.1999,1800.0,359.82,1440.18,720.0,720.18,1.0,,0,5289.06
L0000753,INV-2024-000356,INV,,20240106,202401,66,7,785,7,AE,AED,3.6725,1,1200.0,0.1853,1200.0,222.36,977.64,360.0,617.64,1.0,,0,3590.38
L0000754,INV-2024-000356,INV,,20240106,202401,66,7,785,9,AE,AED,3.6725,1,6000.0,0.1935,6000.0,1161.0,4839.0,2100.0,2739.0,1.25,,0,17771.23
L0000774,INV-2024-000364,INV,,20240106,202401,67,7,820,7,AE,AED,3.6725,6,1200.0,0.124,7200.0,892.8,6307.2,2160.0,4147.2,1.0,,0,23163.19
L0000840,INV-2024-000398,INV,,20240106,202401,73,8,936,7,OM,OMR,0.3845,1,1200.0,0.0,1200.0,0.0,1200.0,360.0,840.0,1.0,,0,461.4
L0000841,INV-2024-000398,INV,,20240106,202401,73,8,936,8,OM,OMR,0.3845,1,1500.0,0.0005,1500.0,0.75,1499.25,1050.0,449.25,1.0,,0,576.46
L0000893,INV-2024-000428,INV,,20240106,202401,77,8,943,16,OM,OMR,0.3845,1,2200.0,0.0618,2200.0,135.97,2064.03,1760.0,304.03,1.0,,0,793.62
L0000190,INV-2024-000086,INV,,20240107,202401,23,2,95,1,EG,EGP,30.9,1,2400.0,0.0665,2400.0,159.6,2240.4,1320.0,920.4,1.0,,0,69228.36
L0000191,INV-2024-000086,INV,,20240107,202401,23,2,95,8,EG,EGP,30.9,1,1500.0,0.0972,1500.0,145.8,1354.2,1050.0,304.2,1.0,,0,41844.78
L0000192,INV-2024-000086,INV,,20240107,202401,23,2,95,10,EG,EGP,30.9,1,3000.0,0.0789,3000.0,236.7,2763.3,900.0,1863.3,1.25,,0,85385.97
L0000268,INV-2024-000133,INV,,20240107,202401,27,2,185,1,EG,EGP,30.9,1,2400.0,0.0301,2400.0,72.24,2327.76,1320.0,1007.76,1.0,,0,71927.78
L0000269,INV-2024-000133,INV,,20240107,202401,27,2,185,7,EG,EGP,30.9,1,1200.0,0.0237,1200.0,28.44,1171.56,360.0,811.56,1.0,,0,36201.2
L0000270,INV-2024-000133,INV,,20240107,202401,27,2,185,7,EG,EGP,30.9,2,1200.0,0.0654,2400.0,156.96,2243.04,720.0,1523.04,1.0,,0,69309.94
L0000276,INV-2024-000137,INV,,20240107,202401,28,2,210,1,EG,EGP,30.9,1,2400.0,0.0435,2400.0,104.4,2295.6,1320.0,975.6,1.0,,0,70934.04
L0000277,INV-2024-000137,INV,,20240107,202401,28,2,210,1,EG,EGP,30.9,1,2400.0,0.0368,2400.0,88.32,2311.68,1320.0,991.68,1.0,,0,71430.91
L0000435,INV-2024-000208,INV,,20240107,202401,42,4,390,3,SA,SAR,3.75,4,3600.0,0.1221,14400.0,1758.24,12641.76,6480.0,6161.76,1.0,,0,47406.6
L0000436,INV-2024-000208,INV,,20240107,202401,42,4,390,1,SA,SAR,3.75,3,2400.0,0.1004,7200.0,722.88,6477.12,3960.0,2517.12,1.0,,0,24289.2
L0000538,INV-2024-000262,INV,,20240107,202401,50,5,598,1,SA,SAR,3.75,2,2400.0,0.0508,4800.0,243.84,4556.16,2640.0,1916.16,1.0,,0,17085.6
L0000540,INV-2024-000264,INV,,20240107,202401,51,5,567,1,SA,SAR,3.75,1,2400.0,0.0429,2400.0,102.96,2297.04,1320.0,977.04,1.0,,0,8613.9
L0000597,INV-2024-000293,INV,,20240107,202401,54,5,684,1,SA,SAR,3.75,2,2400.0,0.0709,4800.0,340.32,4459.68,2640.0,1819.68,1.0,,0,16723.8
