team_key,month_key,date_key,planned_headcount,plan_amount_usd
4,202512,20251201,11,1679758.08
5,202401,20240101,10,532224.0
5,202402,20240201,10,574560.0
5,202403,20240301,10,604800.0
5,202404,20240401,10,604800.0
5,202405,20240501,10,604800.0
5,202406,20240601,10,628992.0
5,202407,20240701,10,574560.0
5,202408,20240801,10,556416.0
5,202409,20240901,10,604800.0
5,202410,20241001,10,628992.0
5,202411,20241101,10,653184.0
5,202412,20241201,10,689472.0
5,202501,20250101,10,612057.6
5,202502,20250201,10,660744.0
5,202503,20250301,10,695520.0
5,202504,20250401,10,695520.0
5,202505,20250501,10,695520.0
5,202506,20250601,10,723340.8
5,202507,20250701,10,660744.0
5,202508,20250801,10,639878.4
5,202509,20250901,10,695520.0
5,202510,20251001,10,723340.8
5,202511,20251101,10,751161.6
5,202512,20251201,10,792892.8
6,202401,20240101,9,980179.2
6,202402,20240201,9,1058148.0
6,202403,20240301,9,1113840.0
6,202404,20240401,9,1113840.0
6,202405,20240501,9,1113840.0
6,202406,20240601,9,1158393.6
6,202407,20240701,9,1058148.0
6,202408,20240801,9,1024732.8
6,202409,20240901,9,1113840.0
6,202410,20241001,9,1158393.6
6,202411,20241101,9,1202947.2
6,202412,20241201,9,1269777.6
6,202501,20250101,10,1252451.2
6,202502,20250201,10,1352078.0
6,202503,20250301,10,1423240.0
6,202504,20250401,10,1423240.0
6,202505,20250501,10,1423240.0
6,202506,20250601,10,1480169.6
6,202507,20250701,10,1352078.0
6,202508,20250801,10,1309380.8
6,202509,20250901,10,1423240.0
6,202510,20251001,10,1480169.6
6,202511,20251101,10,1537099.2
6,202512,20251201,10,1622493.6
7,202401,20240101,8,511033.6
7,202402,20240201,8,551684.0
7,202403,20240301,8,580720.0
7,202404,20240401,8,580720.0
7,202405,20240501,8,580720.0
7,202406,20240601,8,603948.8
7,202407,20240701,8,551684.0
7,202408,20240801,8,534262.4
7,202409,20240901,8,580720.0
7,202410,20241001,8,603948.8
7,202411,20241101,8,627177.6
7,202412,20241201,8,662020.8
7,202501,20250101,8,587688.64
7,202502,20250201,8,634436.6
7,202503,20250301,8,667828.0
7,202504,20250401,8,667828.0
7,202505,20250501,8,667828.0
7,202506,20250601,8,694541.12
7,202507,20250701,8,634436.6
7,202508,20250801,8,614401.76
7,202509,20250901,8,667828.0
7,202510,20251001,8,694541.12
7,202511,20251101,8,721254.24
7,202512,20251201,8,761323.92
8,202401,20240101,5,190080.0
8,202402,20240201,5,205200.0
8,202403,20240301,5,216000.0
8,202404,20240401,5,216000.0
8,202405,20240501,5,216000.0
8,202406,20240601,5,224640.0
8,202407,20240701,5,205200.0
8,202408,20240801,5,198720.0
8,202409,20240901,5,216000.0
8,202410,20241001,5,224640.0
8,202411,20241101,5,233280.0
8,202412,20241201,5,246240.0
8,202501,20250101,8,349747.2
8,202502,20250201,8,377568.0
8,202503,20250301,8,397440.0
8,202504,20250401,8,397440.0
8,202505,20250501,8,397440.0
8,202506,20250601,8,413337.6
8,202507,20250701,8,377568.0
8,202508,20250801,8,365644.8
8,202509,20250901,8,397440.0
8,202510,20251001,8,413337.6
8,202511,20251101,8,429235.2
8,202512,20251201,8,453081.6
