line_id,document_no,doc_type,original_document_no,document_date,rep_code,customer_code,country,sku,quantity,unit_list_price_local,discount_pct,net_amount_local,currency,exported_at,country_code,dq_failed_rules
L0024719,INV-2025-012003,INV,,2025-09-19,,CUST-00243,Egypt,MS-HELP,1.0,240295.68,0.0494,228425.07,EGP,2026-01-05 06:00:00,EG,DQ-S04
L0002007,INV-2024-000975,INV,,2024-02-01,REP-063,CUST-00791,UAE,CL-BKP,17.0,4407.0,0.1689,62265.18,,2026-01-05 06:00:00,AE,DQ-S08
L0019788,INV-2025-009607,INV,,2025-05-27,,CUST-00670,Saudi Arabia,CN-FIB-100,1.0,9000.0,0.0619,8442.9,SAR,2026-01-05 06:00:00,SA,DQ-S04
L0002047,INV-2024-000998,INV,,2024-02-24,,CUST-00850,Oman,CL-BKP,1.0,461.4,0.0345,445.48,OMR,2026-01-05 06:00:00,OM,DQ-S04
L0014063,INV-2024-006768,INV,,2024-12-30,,CUST-00869,Oman,DV-RTR,2.0,422.95,0.0354,815.96,OMR,2026-01-05 06:00:00,OM,DQ-S04
L0001704,INV-2024-000844,INV,,2024-02-03,REP-044,CUST-00530,Saudi Arabia,MS-HELP,-1.0,18000.0,0.0398,-17283.6,SAR,2026-01-05 06:00:00,SA,DQ-S10
L0024484,INV-2025-011868,INV,,2025-09-16,REP-011,CUST-00171,Egypt,DV-AP,-4.0,22527.72,0.0374,-86740.73,EGP,2026-01-05 06:00:00,EG,DQ-S10
L0008923,INV-2024-004337,INV,,2024-09-30,,CUST-00014,Egypt,CL-BKP,1.0,57884.28,0.1298,50370.9,EGP,2026-01-05 06:00:00,EG,DQ-S04
L0015850,INV-2025-007650,INV,,2025-02-03,,CUST-00428,Saudi Arabia,CY-EDR,6.0,11250.0,0.1216,59292.0,SAR,2026-01-05 06:00:00,SA,DQ-S04
L0025031,INV-2025-012129,INV,,2025-09-02,,CUST-00427,Saudi Arabia,CN-FIB-100,2.0,9000.0,0.1383,15510.6,SAR,2026-01-05 06:00:00,SA,DQ-S04
L0007545,INV-2024-003694,INV,,2024-07-27,REP-047,CUST-00647,Saudi Arabia,DV-AP,2.0,1687.5,0.0279,3280.84,,2026-01-05 06:00:00,SA,DQ-S08
L0013169,INV-2024-006354,INV,,2024-12-29,REP-025,CUST-00344,Egypt,CY-EDR,-1.0,143291.7,0.2309,-110205.65,EGP,2026-01-05 06:00:00,EG,DQ-S10
L0026356,INV-2025-012795,INV,,2025-10-29,REP-087,CUST-00367,Egypt,CL-GPU,3.0,59472.72,0.2356,136382.84,EGP,2026-01-05 06:00:00,EG,DQ-S06
L0029212,INV-2025-014176,INV,,2025-12-31,REP-019,CUST-00140,Egypt,CL-GPU,1.0,75680.55,0.0341,73099.84,EGP,2026-01-05 06:00:00,EG,DQ-S06
L0015012,INV-2025-007235,INV,,2025-01-27,REP-047,CUST-00674,Saudi Arabia,CL-PROD,-1.0,5625.0,0.04,-5400.0,SAR,2026-01-05 06:00:00,SA,DQ-S10
L0013752,INV-2024-006633,INV,,2024-12-25,REP-053,CUST-00748,UAE,MS-HELP,-1.0,17628.0,0.0549,-16660.22,AED,2026-01-05 06:00:00,AE,DQ-S10
L0009007,INV-2024-004371,INV,,2024-09-21,REP-008,CUST-00062,Egypt,DV-AP,-1.0,21706.6,0.1196,-19110.49,EGP,2026-01-05 06:00:00,EG,DQ-S10
L0002259,INV-2024-001094,INV,,2024-03-31,,CUST-00038,Egypt,CY-EDR,1.0,142239.9,0.0946,128784.01,EGP,2026-01-05 06:00:00,EG,DQ-S04
L0011929,INV-2024-005744,INV,,2024-11-19,REP-075,CUST-00439,Saudi Arabia,CY-XDR,1.0,11250.0,0.0823,10324.12,SAR,2026-01-05 06:00:00,SA,DQ-S06
L0015154,INV-2025-007293,INV,,2025-01-11,,CUST-00778,UAE,PS-TRN,1.0,5508.75,0.169,4577.77,AED,2026-01-05 06:00:00,AE,DQ-S04
L0027098,INV-2025-013130,INV,,2025-10-27,REP-089,CUST-00807,UAE,PS-IMPL,-10.0,2938.0,0.2161,-23030.98,AED,2026-01-05 06:00:00,AE,DQ-S10
L0009260,INV-2024-004507,INV,,2026-11-16,REP-021,CUST-00361,Egypt,DV-RTR,1.0,53060.59,0.2494,39827.28,EGP,2026-01-05 06:00:00,EG,DQ-S03
L0003939,INV-2024-001941,INV,,2024-04-26,REP-044,CUST-00598,Saudi Arabia,CY-XDR,1.0,9000.0,0.0582,8476.2,SAR,2026-01-05 06:00:00,SA,DQ-S06
L0000961,INV-2024-000455,INV,,2024-02-20,,CUST-00021,Egypt,CY-EDR,1.0,92700.0,0.1114,82373.22,EGP,2026-01-05 06:00:00,EG,DQ-S04
L0021730,INV-2025-010554,INV,,2025-06-24,,CUST-00792,UAE,CN-FIB-100,1.0,8814.0,0.2004,7047.67,AED,2026-01-05 06:00:00,AE,DQ-S04
L0001002,INV-2024-000471,INV,,2024-02-17,REP-007,CUST-00010,Egypt,CL-IAAS-S,-3.0,55620.0,0.1322,-144801.11,EGP,2026-01-05 06:00:00,EG,DQ-S10
L0004723,INV-2024-002335,INV,,2024-05-29,,CUST-00125,Egypt,CN-FIB-100,1.0,114923.28,0.0959,103902.14,EGP,2026-01-05 06:00:00,EG,DQ-S04
L0014482,INV-2025-006982,INV,,2025-01-29,REP-020,CUST-00138,Egypt,CL-BKP,1.0,59614.44,0.0512,56562.18,,2026-01-05 06:00:00,EG,DQ-S08
L0007602,INV-2024-003716,INV,,2024-07-08,,CUST-00729,UAE,CN-FIB-100,1.0,8814.0,0.0638,8251.67,AED,2026-01-05 06:00:00,AE,DQ-S04
L0012617,INV-2024-006081,INV,,2024-12-03,REP-002,CUST-00061,Egypt,CL-IAAS-S,-17.0,85975.02,0.1116,-1298463.53,EGP,2026-01-05 06:00:00,EG,DQ-S10
L0021338,INV-2025-010370,INV,,2025-06-03,REP-043,CUST-00572,saudi arabia,CN-FIB-100,-3.0,9000.0,0.0613,-25344.9,SAR,2026-01-05 06:00:00,SA,DQ-S10
L0013039,INV-2024-006286,INV,,2024-12-07,,CUST-00096,Egypt,CL-IAAS-S,2.0,85975.02,0.073,159397.69,EGP,2026-01-05 06:00:00,EG,DQ-S04
L0015662,INV-2025-007561,INV,,2025-02-14,,CUST-00268,Egypt,DV-AP,3.0,22100.72,0.0328,64127.45,EGP,2026-01-05 06:00:00,EG,DQ-S04
L0001579,INV-2024-000768,INV,,2026-05-14,REP-039,CUST-00661,Saudi Arabia,DV-SW48,2.0,8250.0,0.1295,14363.25,SAR,2026-01-05 06:00:00,SA,DQ-S03
L0023963,INV-2025-011646,INV,,2025-08-27,,CUST-00709,UAE,MS-HELP,1.0,17628.0,0.0649,16483.94,AED,2026-01-05 06:00:00,AE,DQ-S04
L0004125,INV-2024-002030,INV,,2024-04-03,REP-056,CUST-00719,UAE,CY-EDR,-2.0,11017.5,0.1083,-19648.61,AED,2026-01-05 06:00:00,AE,DQ-S10
L0017009,INV-2025-008237,INV,,2025-03-18,,CUST-00368,Egypt,CY-EDR,1.0,146846.7,0.2294,113160.07,EGP,2026-01-05 06:00:00,EG,DQ-S04
L0016027,INV-2025-007730,INV,,2025-02-19,REP-040,CUST-00619,Saudi Arabia,DV-RTR,5.0,4125.0,0.0,20625.0,,2026-01-05 06:00:00,SA,DQ-S08
L0006663,INV-2024-003261,INV,,2024-06-27,REP-063,CUST-00816,UAE,CY-XDR,1.0,4039.75,0.1574,3403.89,AED,2026-01-05 06:00:00,AE,DQ-S06
L0025406,INV-2025-012312,INV,,2025-09-30,REP-055,CUST-00716,UAE,CN-SDWAN,6.0,13221.0,0.1025,71195.08,XXX,2026-01-05 06:00:00,AE,DQ-S08
L0003933,INV-2024-001937,INV,,2024-04-13,,CUST-00666,Saudi Arabia,CL-IAAS-S,2.0,6750.0,0.0229,13190.85,SAR,2026-01-05 06:00:00,SA,DQ-S04
L0030075,INV-2025-014598,INV,,2026-09-19,REP-048,CUST-00772,UAE,CL-BKP,4.0,4407.0,0.1202,15509.11,AED,2026-01-05 06:00:00,AE,DQ-S03
L0008434,INV-2024-004117,INV,,2026-05-20,REP-039,CUST-00613,Saudi Arabia,CN-FIB-100,1.0,9000.0,0.0803,8277.3,SAR,2026-01-05 06:00:00,SA,DQ-S03
L0021871,INV-2025-010632,INV,,2025-06-09,REP-081,CUST-00889,Oman,CY-EDR,-1.0,1153.5,0.023,-1126.97,OMR,2026-01-05 06:00:00,OM,DQ-S10
L0010936,INV-2024-005296,INV,,2024-10-21,REP-051,CUST-00743,UAE,CL-PROD,2.0,5508.75,0.2099,8704.93,XXX,2026-01-05 06:00:00,AE,DQ-S08
L0024421,INV-2025-011838,INV,,2025-09-26,REP-082,CUST-00070,Egypt,CL-BKP,-6.0,60073.92,0.1036,-323101.57,EGP,2026-01-05 06:00:00,EG,DQ-S10
L0001942,INV-2024-000946,INV,,2024-02-21,REP-060,CUST-00811,UAE,DV-OLD-01,-1.0,11017.5,0.1881,-8945.11,AED,2026-01-05 06:00:00,AE,DQ-S06;DQ-S10
L0025141,INV-2025-012180,INV,,2025-09-12,,CUST-00525,Saudi Arabia,CL-PROD,3.0,5625.0,0.0904,15349.5,SAR,2026-01-05 06:00:00,SA,DQ-S04
L0019126,INV-2025-009258,INV,,2025-05-15,,CUST-00049,Egypt,MS-HELP,1.0,239666.4,0.1004,215603.89,EGP,2026-01-05 06:00:00,EG,DQ-S04
L0023164,INV-2025-011259,INV,,2025-07-27,REP-090,CUST-00910,Oman,PS-IMPL,1.0,307.6,0.0189,301.79,EUR?,2026-01-05 06:00:00,OM,DQ-S08
L0023215,INV-2025-011279,INV,,2025-08-16,REP-006,CUST-00067,Egypt,CY-EDR,-1.0,149589.9,0.1068,-133613.7,EGP,2026-01-05 06:00:00,EG,DQ-S10
L0001149,INV-2024-000551,INV,,2024-02-12,REP-014,CUST-00143,Egypt,CN-FIB-100,2.0,74160.0,0.0398,142416.86,,2026-01-05 06:00:00,EG,DQ-S08
L0031335,CN-2025-00336,CN,INV-2025-013187,2025-12-07,REP-080,CUST-00863,Oman,CN-FIB-100,-1.0,922.8,0.079,-849.9,XXX,2026-01-05 06:00:00,OM,DQ-S08
L0002402,INV-2024-001169,INV,,2024-03-29,REP-016,CUST-00278,Egypt,DV-RTR,-1.0,52154.63,0.1539,-44128.03,EGP,2026-01-05 06:00:00,EG,DQ-S10
L0009224,INV-2024-004490,INV,,2024-09-26,,CUST-00078,Egypt,CN-FIB-100,1.0,115768.56,0.0577,109088.71,EGP,2026-01-05 06:00:00,EG,DQ-S04
L0010353,INV-2024-005015,INV,,2024-10-08,REP-017,CUST-00221,Egypt,MS-HELP,1.0,233582.4,0.0719,216787.83,XXX,2026-01-05 06:00:00,EG,DQ-S08
L0029552,INV-2025-014351,INV,,2025-12-15,,CUST-00392,Saudi Arabia,CY-EDR,1.0,3000.0,0.1402,2579.4,USD,2026-01-05 06:00:00,SA,DQ-S04
L0000519,INV-2024-000249,INV,,2024-01-03,REP-040,CUST-00645,Saudi Arabia,CL-BKP,-1.0,4500.0,0.0298,-4365.9,SAR,2026-01-05 06:00:00,SA,DQ-S10
L0006940,INV-2024-003388,INV,,2024-07-27,REP-009,CUST-00052,Egypt,CN-FIB-100,1.0,116274.48,0.1147,102937.8,,2026-01-05 06:00:00,EG,DQ-S08
L0023359,INV-2025-011349,INV,,2025-08-08,REP-015,CUST-00287,Egypt,MS-HELP,-1.0,239343.84,0.1102,-212968.15,EGP,2026-01-05 06:00:00,EG,DQ-S10
L0025910,INV-2025-012552,INV,,2025-10-30,REP-006,CUST-00013,Egypt,CN-FIB-100,-1.0,118945.44,0.1302,-103458.74,EGP,2026-01-05 06:00:00,EG,DQ-S10
L0021091,INV-2025-010242,INV,,2025-06-07,REP-035,CUST-00406,Saudi Arabia,MS-HELP,-2.0,18000.0,0.1022,-32320.8,SAR,2026-01-05 06:00:00,SA,DQ-S10
L0028691,INV-2025-013894,INV,,2025-11-27,REP-083,CUST-00802,UAE,CL-PROD,4.0,5508.75,0.1357,19044.85,,2026-01-05 06:00:00,AE,DQ-S08
L0003722,INV-2024-001829,INV,,2026-07-22,REP-031,CUST-00416,Saudi Arabia,MS-HELP,2.0,18000.0,0.0966,32522.4,SAR,2026-01-05 06:00:00,SA,DQ-S03
L0012786,INV-2024-006141,INV,,2024-12-04,REP-009,CUST-00001,Egypt,MS-HELP,-1.0,229266.72,0.0905,-208518.08,EGP,2026-01-05 06:00:00,EG,DQ-S10
L0019127,INV-2025-009258,INV,,2025-05-15,,CUST-00049,Egypt,CY-EDR,1.0,149791.5,0.1129,132880.04,EGP,2026-01-05 06:00:00,EG,DQ-S04
L0013747,INV-2024-006632,INV,,2024-12-01,,CUST-00755,UAE,CL-BKP,9.0,4407.0,0.1604,33301.05,AED,2026-01-05 06:00:00,AE,DQ-S04
L0021885,INV-2025-010640,INV,,2025-06-10,REP-081,CUST-00926,Oman,DV-RTR,3.0,422.95,0.0473,1208.83,,2026-01-05 06:00:00,OM,DQ-S08
L0020342,INV-2025-009878,INV,,2025-05-06,REP-080,CUST-00835,Oman,DV-RTR,-3.0,422.95,0.0524,-1202.36,OMR,2026-01-05 06:00:00,OM,DQ-S10
L0009158,INV-2024-004449,INV,,2024-09-11,REP-016,CUST-00167,Egypt,MS-HELP,-1.0,231537.12,0.1442,-198149.47,EGP,2026-01-05 06:00:00,EG,DQ-S10
L0015835,INV-2025-007643,INV,,2026-08-12,REP-028,CUST-00382,Saudi Arabia,CL-IAAS-S,3.0,6750.0,0.0961,18303.98,SAR,2026-01-05 06:00:00,SA,DQ-S03
L0027187,INV-2025-013180,INV,,2025-10-31,REP-074,CUST-00969,Oman,CY-EDR,-1.0,1153.5,0.0314,-1117.28,OMR,2026-01-05 06:00:00,OM,DQ-S10
L0004662,INV-2024-002292,INV,,2026-05-19,REP-017,CUST-00290,Egypt,CY-EDR,1.0,143654.1,0.0422,137591.9,EGP,2026-01-05 06:00:00,EG,DQ-S03
L0008753,INV-2024-004259,INV,,2024-08-29,REP-063,CUST-00792,UAE,CL-GPU,15.0,1652.62,0.198,19881.02,AED,2026-01-05 06:00:00,AE,DQ-S06
L0002328,INV-2024-001125,INV,,2024-03-03,,CUST-00206,Egypt,CN-FIB-100,1.0,113791.92,0.0316,110196.1,EGP,2026-01-05 06:00:00,EG,DQ-S04
L0015598,INV-2025-007524,INV,,2025-02-16,REP-017,CUST-00205,Egypt,DV-RTR,-1.0,54023.97,0.0209,-52894.87,EGP,2026-01-05 06:00:00,EG,DQ-S10
L0002304,INV-2024-001112,INV,,2024-03-27,REP-010,CUST-00145,Egypt,CL-BKP,1.0,56895.96,0.0,56895.96,XXX,2026-01-05 06:00:00,EG,DQ-S08
L0008199,INV-2024-004009,INV,,2024-08-28,REP-022,CUST-00374,Egypt,CL-BKP,1.0,57385.92,0.1714,47549.97,EUR?,2026-01-05 06:00:00,EG,DQ-S08
L0008388,INV-2024-004094,INV,,2024-08-01,,CUST-00381,Saudi Arabia,CL-IAAS-S,3.0,6750.0,0.0929,18368.78,SAR,2026-01-05 06:00:00,SA,DQ-S04
L0016411,INV-2025-007920,INV,,2025-02-20,REP-063,CUST-00810,UAE,CN-SDWAN,1.0,13221.0,0.173,10933.77,XXX,2026-01-05 06:00:00,AE,DQ-S08
L0010435,INV-2024-005063,INV,,2024-10-29,REP-020,CUST-00213,Egypt,CN-FIB-100,1.0,116791.2,0.0848,106887.31,EUR?,2026-01-05 06:00:00,EG,DQ-S08
L0013782,INV-2024-006643,INV,,2024-12-27,REP-054,CUST-00710,UAE,MS-HELP,-1.0,17628.0,0.1281,-15369.85,AED,2026-01-05 06:00:00,AE,DQ-S10
L0026227,INV-2025-012728,INV,,2025-10-28,,CUST-00185,Egypt,CL-BKP,1.0,59472.72,0.0559,56148.19,EGP,2026-01-05 06:00:00,EG,DQ-S04
L0018448,INV-2025-008937,INV,,2025-04-23,,CUST-00519,Saudi Arabia,CN-FIB-100,1.0,9000.0,0.1231,7892.1,SAR,2026-01-05 06:00:00,SA,DQ-S04
L0021605,INV-2025-010503,INV,,2025-06-10,REP-072,CUST-00719,UAE,DV-OLD-01,1.0,44070.0,0.0867,40249.13,AED,2026-01-05 06:00:00,AE,DQ-S06
L0021978,INV-2025-010687,INV,,2025-07-12,REP-003,CUST-00012,Egypt,CN-FIB-100,1.0,118862.4,0.0714,110375.62,EUR?,2026-01-05 06:00:00,EG,DQ-S08
L0012732,INV-2024-006119,INV,,2024-12-14,REP-008,CUST-00066,Egypt,CY-XDR,1.0,229266.72,0.143,196481.58,EGP,2026-01-05 06:00:00,EG,DQ-S06
L0016350,INV-2025-007891,INV,,2025-02-08,REP-057,CUST-00793,UAE,DV-AP,27.0,1652.62,0.181,36544.39,XXX,2026-01-05 06:00:00,AE,DQ-S08
L0001333,INV-2024-000658,INV,,2024-02-06,,CUST-00355,Egypt,CN-SDWAN,1.0,111240.0,0.1242,97423.99,EGP,2026-01-05 06:00:00,EG,DQ-S04
L0030787,CN-2024-00028,CN,INV-2024-001445,2026-06-24,REP-047,CUST-00569,Saudi Arabia,CN-FIB-100,-2.0,9000.0,0.0633,-16860.6,SAR,2026-01-05 06:00:00,SA,DQ-S03
L0014506,INV-2025-006995,INV,,2025-01-09,REP-077,CUST-00072,Egypt,CN-FIB-100,1.0,119228.88,0.0593,112158.61,XXX,2026-01-05 06:00:00,EG,DQ-S08
L0003155,INV-2024-001543,INV,,2024-03-30,REP-063,CUST-00804,UAE,DV-OLD-01,1.0,11017.5,0.2024,8787.56,AED,2026-01-05 06:00:00,AE,DQ-S06
L0023657,INV-2025-011498,INV,,2025-08-15,,CUST-00402,Saudi Arabia,MS-HELP,3.0,18000.0,0.1325,46845.0,SAR,2026-01-05 06:00:00,SA,DQ-S04
L0004155,INV-2024-002042,INV,,2024-04-26,REP-057,CUST-00807,UAE,CY-EDR,-1.0,11017.5,0.1574,-9283.35,AED,2026-01-05 06:00:00,AE,DQ-S10
L0008075,INV-2024-003936,INV,,2024-08-01,REP-014,CUST-00085,Egypt,CL-GPU,1.0,71732.4,0.0344,69264.81,EGP,2026-01-05 06:00:00,EG,DQ-S06
L0019130,INV-2025-009260,INV,,2025-05-24,REP-009,CUST-00020,Egypt,CN-FIB-100,-2.0,119833.2,0.0877,-218647.66,EGP,2026-01-05 06:00:00,EG,DQ-S10
L0007062,INV-2024-003458,INV,,2024-07-24,REP-016,CUST-00259,Egypt,CL-BKP,1.0,58137.24,0.1343,50329.41,,2026-01-05 06:00:00,EG,DQ-S08
L0000536,INV-2024-000260,INV,,2024-01-21,,CUST-00580,Saudi Arabia,DV-AP,11.0,1687.5,0.0264,18072.45,SAR,2026-01-05 06:00:00,SA,DQ-S04
L0008713,INV-2024-004239,INV,,2024-08-06,,CUST-00788,UAE,CY-FW,1.0,22035.0,0.2398,16751.01,AED,2026-01-05 06:00:00,AE,DQ-S04
L0005493,INV-2024-002710,INV,,2024-05-22,REP-068,CUST-00845,Oman,CN-FIB-100,-1.0,922.8,0.078,-850.82,OMR,2026-01-05 06:00:00,OM,DQ-S10
L0001058,INV-2024-000494,INV,,2026-08-25,REP-010,CUST-00112,Egypt,PS-TRN,3.0,46350.0,0.0238,135740.61,EGP,2026-01-05 06:00:00,EG,DQ-S03
L0020328,INV-2025-009869,INV,,2025-05-28,REP-080,CUST-00935,Oman,CL-BKP,2.0,461.4,0.0537,873.25,XXX,2026-01-05 06:00:00,OM,DQ-S08
L0028312,INV-2025-013739,INV,,2025-11-19,,CUST-00621,Saudi Arabia,DV-AP,4.0,1687.5,0.0346,6516.45,SAR,2026-01-05 06:00:00,SA,DQ-S04
L0031299,CN-2025-00316,CN,INV-2025-011857,2025-10-24,REP-011,CUST-00245,Egypt,DV-AP,-3.0,22302.27,0.018,-65702.49,,2026-01-05 06:00:00,EG,DQ-S08
L0015138,INV-2025-007286,INV,,2025-01-11,,CUST-00762,UAE,CN-FIB-100,1.0,8814.0,0.1138,7810.97,AED,2026-01-05 06:00:00,AE,DQ-S04
L0020734,INV-2025-010066,INV,,2025-06-26,REP-017,CUST-00118,Egypt,CL-GPU,1.0,150321.3,0.0757,138941.98,EGP,2026-01-05 06:00:00,EG,DQ-S06
L0015838,INV-2025-007644,INV,,2025-02-24,,CUST-00425,Saudi Arabia,CY-EDR,5.0,11250.0,0.1028,50467.5,SAR,2026-01-05 06:00:00,SA,DQ-S04
L0030962,CN-2024-00127,CN,INV-2024-005159,2024-12-07,REP-034,CUST-00436,Saudi Arabia,CL-GPU,-17.0,6750.0,0.1297,-99866.92,SAR,2026-01-05 06:00:00,SA,DQ-S06
L0015984,INV-2025-007702,INV,,2025-02-24,REP-038,CUST-00507,Saudi Arabia,CY-XDR,1.0,4125.0,0.0378,3969.08,SAR,2026-01-05 06:00:00,SA,DQ-S06
L0002354,INV-2024-001141,INV,,2024-03-27,REP-013,CUST-00267,Egypt ,DV-AP,2.0,21335.98,0.0164,41972.14,XXX,2026-01-05 06:00:00,EG,DQ-S08
L0020015,INV-2025-009712,INV,,2025-05-03,REP-051,CUST-00768,UAE,CY-SOC,-1.0,66105.0,0.1296,-57537.79,AED,2026-01-05 06:00:00,AE,DQ-S10
L0031224,CN-2025-00276,CN,INV-2025-010486,2025-06-23,REP-054,CUST-00742,UAE,CN-FIB-100,-2.0,8814.0,0.0893,-16053.82,,2026-01-05 06:00:00,AE,DQ-S08
L0003982,INV-2024-001964,INV,,2024-04-09,,CUST-00476,Saudi Arabia,CL-PROD,2.0,5625.0,0.0821,10326.38,SAR,2026-01-05 06:00:00,SA,DQ-S04
L0017860,INV-2025-008640,INV,,2025-04-01,,CUST-00306,Egypt,CN-FIB-100,1.0,117919.2,0.0034,117518.27,EGP,2026-01-05 06:00:00,EG,DQ-S04
L0004112,INV-2024-002024,INV,,2024-04-07,,CUST-00756,UAE,PS-TRN,3.0,5508.75,0.0949,14957.91,AED,2026-01-05 06:00:00,AE,DQ-S04
L0028249,INV-2025-013703,INV,,2026-08-12,REP-046,CUST-00552,Saudi Arabia,CN-FIB-100,1.0,9000.0,0.1048,8056.8,SAR,2026-01-05 06:00:00,SA,DQ-S03
L0010252,INV-2024-004958,INV,,2024-10-27,,CUST-00038,Egypt,CL-PROD,1.0,72994.5,0.1098,64979.7,EGP,2026-01-05 06:00:00,EG,DQ-S04
L0007029,INV-2024-003437,INV,,2024-07-06,REP-014,CUST-00160,Egypt,PS-IMPL,-1.0,38758.16,0.0,-38758.16,EGP,2026-01-05 06:00:00,EG,DQ-S10
L0007255,INV-2024-003554,INV,,2024-07-31,REP-024,CUST-00345,Egypt,CL-IAAS-S,3.0,87205.86,0.2283,201890.29,XXX,2026-01-05 06:00:00,EG,DQ-S08
L0029314,INV-2025-014231,INV,,2025-12-22,,CUST-00249,Egypt,PS-IMPL,1.0,40362.96,0.1167,35652.6,EGP,2026-01-05 06:00:00,EG,DQ-S04
L0021498,INV-2025-010461,INV,,2025-06-29,,CUST-00728,UAE,CN-MPLS,1.0,33052.5,0.1511,28058.27,AED,2026-01-05 06:00:00,AE,DQ-S04
L0028940,INV-2025-014034,INV,,2025-12-03,REP-004,CUST-00002,Egypt,CN-FIB-100,3.0,121088.88,0.0773,335186.13,EUR?,2026-01-05 06:00:00,EG,DQ-S08
L0004399,INV-2024-002162,INV,,2024-05-03,REP-005,CUST-00066,Egypt,MS-HELP,1.0,229846.56,0.1931,185463.19,XXX,2026-01-05 06:00:00,EG,DQ-S08
L0011483,INV-2024-005537,INV,,2026-09-20,REP-011,CUST-00167,Egypt,CN-FIB-100,1.0,115951.68,0.0546,109620.72,EGP,2026-01-05 06:00:00,EG,DQ-S03
L0015980,INV-2025-007700,INV,,2025-02-05,REP-038,CUST-00646,Saudi Arabia,CL-BKP,3.0,4500.0,0.0926,12249.9,EUR?,2026-01-05 06:00:00,SA,DQ-S08
L0014685,INV-2025-007080,INV,,2025-01-07,REP-029,CUST-00407,Saudi Arabia,CY-EDR,1.0,11250.0,0.1442,9627.75,EUR?,2026-01-05 06:00:00,SA,DQ-S08
L0017436,INV-2025-008444,INV,,2025-03-11,,CUST-00726,UAE,PS-AUD,1.0,20198.75,0.1492,17185.1,AED,2026-01-05 06:00:00,AE,DQ-S04
L0010786,INV-2024-005220,INV,,2026-10-18,REP-043,CUST-00660,saudi arabia,DV-RTR,3.0,4125.0,0.0842,11333.02,SAR,2026-01-05 06:00:00,SA,DQ-S03
L0012428,INV-2024-005979,INV,,2024-11-20,REP-060,CUST-00799,UAE,CL-BKP,5.0,4407.0,0.1939,17762.41,XXX,2026-01-05 06:00:00,AE,DQ-S08
L0007034,INV-2024-003440,INV,,2024-07-28,REP-014,CUST-00295,Egypt,CL-IAAS-S,1.0,87205.86,0.0344,84205.98,EUR?,2026-01-05 06:00:00,EG,DQ-S08
L0017239,INV-2025-008334,INV,,2025-03-27,,CUST-00471,Saudi Arabia,DV-RTR,8.0,4125.0,0.0016,32947.2,SAR,2026-01-05 06:00:00,SA,DQ-S04
L0030626,INV-2025-014839,INV,,2025-12-16,REP-080,CUST-00932,Oman,CL-GPU,1.0,922.8,0.0642,863.56,OMR,2026-01-05 06:00:00,OM,DQ-S06
