line_id,document_no,doc_type,original_document_no,document_date,rep_code,customer_code,country,sku,quantity,unit_list_price_local,discount_pct,net_amount_local,currency,exported_at
L0010799,INV-2024-005228,INV,,2024-10-27,REP-044,CUST-00666,Saudi Arabia,CL-PROD,2.0,5625.0,0.0998,10127.25,SAR,2026-01-05 06:00:00
L0027275,INV-2025-013233,INV,,2025-11-20,REP-002,CUST-00002,Egypt,cl-bkp ,1.0,60172.92,0.1552,50834.08,EGP,2026-01-05 06:00:00
L0016580,INV-2025-008012,INV,,2025-03-11,REP-002,CUST-00042,Egypt,CL-IAAS-S,2.0,88108.02,0.1315,153043.63,EGP,2026-01-05 06:00:00
L0001352,INV-2024-000668,INV,,2024-02-21,REP-023,CUST-00366,Egypt,CY-EDR,1.0,92700.0,0.1672,77200.56,EGP,2026-01-05 06:00:00
L0013400,INV-2024-006444,INV,,2024-12-29,REP-039,CUST-00537,Saudi Arabia,DV-AP,1.0,1687.5,0.0836,1546.42,SAR,2026-01-05 06:00:00
L0029767,INV-2025-014423,INV,,2025-12-10,REP-075,CUST-00434,Saudi Arabia,CN-SDWAN,2.0,13500.0,0.112,23976.0,SAR,2026-01-05 06:00:00
L0004846,INV-2024-002391,INV,,2024-05-10,REP-028,CUST-00394,Saudi Arabia,CL-BKP,1.0,1200.0,0.1057,1073.16,USD,2026-01-05 06:00:00
L0002956,INV-2024-001454,INV,,2024-03-11,REP-049,CUST-00717,UAE,MS-HELP,3.0,17628.0,0.0834,48473.47,AED,2026-01-05 06:00:00
L0028637,INV-2025-013864,INV,,2025-11-30,REP-089,CUST-00805,UAE,PS-TRN,1.0,5508.75,0.2638,4055.54,AED,2026-01-05 06:00:00
L0017110,INV-2025-008272,INV,,2025-03-17,REP-034,CUST-00437,Saudi Arabia,CN-SDWAN,6.0,13500.0,0.118,71442.0,SAR,2026-01-05 06:00:00
L0020977,INV-2025-010196,INV,,2025-06-16,REP-026,CUST-00337,Egypt,CN-FIB-100,2.0,120257.04,0.1958,193421.42,EGP,2026-01-05 06:00:00
L0027684,INV-2025-013443,INV,,04/11/2025,REP-001,CUST-00301,Egypt,CL-BKP,2.0,60172.92,0.0246,117385.33,EGP,2026-01-05 06:00:00
L0011104,INV-2024-005361,INV,,2024-10-18,REP-061,CUST-00780,UAE,DV-SW48,3.0,8079.5,0.1918,19589.56,AED,2026-01-05 06:00:00
L0024450,INV-2025-011849,INV,,2025-09-26,REP-010,CUST-00302,Egypt,CL-BKP,1.0,60073.92,0.0163,59094.72,EGP,2026-01-05 06:00:00
L0013536,INV-2024-006527,INV,,2024-12-28,REP-044,CUST-00589,Saudi Arabia,CN-FIB-100,1.0,9000.0,0.0478,8569.8,SAR,2026-01-05 06:00:00
L0019150,INV-2025-009266,INV,,2025-05-21,REP-082,CUST-00058,Egypt,MS-HELP,1.0,239666.4,0.133,207790.77,EGP,2026-01-05 06:00:00
L0000050,INV-2024-000017,INV,,2024-01-17,REP-005,CUST-00020,Egypt,CL-IAAS-L,1.0,231750.0,0.1461,197891.32,EGP,2026-01-05 06:00:00
L0012527,INV-2024-006030,INV,,2024-11-16,REP-065,CUST-00852,Oman,CY-EDR,1.0,1153.5,0.0057,1146.93,OMR,2026-01-05 06:00:00
L0022437,INV-2025-010912,INV,,2025-07-28,REP-032,CUST-00385,Saudi Arabia,CY-EDR,3.0,3000.0,0.0975,8122.5,USD,2026-01-05 06:00:00
L0028672,INV-2025-013883,INV,,2025-11-29,REP-092,CUST-00780,UAE,CL-IAAS-S,4.0,6610.5,0.2205,20611.54,AED,2026-01-05 06:00:00
L0030733,INV-2025-014899,INV,,2025-12-04,REP-090,CUST-00907,Oman,CL-BKP,1.0,461.4,0.0425,441.79,OMR,2026-01-05 06:00:00
L0016856,INV-2025-008157,INV,,2025-03-19,REP-020,CUST-00139,Egypt,MS-HELP,1.0,234954.72,0.0538,222314.16,EGP,2026-01-05 06:00:00
L0025646,INV-2025-012412,INV,,2025-09-18,REP-083,CUST-00816,UAE,CL-IAAS-S,5.0,6610.5,0.1223,29010.18,AED,2026-01-05 06:00:00
L0003318,INV-2024-001623,INV,,2024-04-02,REP-006,CUST-00010,Egypt,CL-BKP,1.0,57528.48,0.0937,52138.06,EGP,2026-01-05 06:00:00
L0014701,INV-2025-007084,INV,,2025-01-23,REP-031,CUST-00444,saudi arabia,MS-HELP,1.0,18000.0,0.0882,16412.4,SAR,2026-01-05 06:00:00
L0027826,INV-2025-013514,INV,,2025-11-19,REP-087,CUST-00352,Egypt,DV-AP,1.0,22564.84,0.183,18435.47,EGP,2026-01-05 06:00:00
L0013724,INV-2024-006624,INV,,2024-12-17,REP-051,CUST-00718,UAE,CL-IAAS-S,1.0,6610.5,0.1502,5617.6,EUR?,2026-01-05 06:00:00
L0002826,INV-2024-001379,INV,,2024-03-31,REP-042,CUST-00640,Saudi Arabia,CN-FIB-100,1.0,9000.0,0.057,8487.0,SAR,2026-01-05 06:00:00
L0028677,INV-2025-013886,INV,,2025-11-17,REP-092,CUST-00787,UAE,MS-HELP,1.0,17628.0,0.1902,14275.15,AED,2026-01-05 06:00:00
L0011736,INV-2024-005671,INV,,2024-11-07,REP-026,CUST-00358,Egypt,CL-BKP,1.0,57975.84,0.2064,46009.63,EGP,2026-01-05 06:00:00
L0003543,INV-2024-001747,INV,,2024-04-16,REP-019,CUST-00156,Egypt,CN-FIB-100,1.0,115056.96,0.0455,109821.87,EGP,2026-01-05 06:00:00
L0010046,INV-2024-004872,INV,,2024-09-28,REP-067,CUST-00936,Oman,DV-AP,11.0,173.02,0.0896,1732.69,OMR,2026-01-05 06:00:00
L0011276,INV-2024-005449,INV,,2024-10-13,REP-074,CUST-00891,Oman,CL-PROD,3.0,576.75,0.0033,1724.54,OMR,2026-01-05 06:00:00
L0029788,INV-2025-014430,INV,,2025-12-27,REP-085,CUST-00402,Saudi Arabia,CY-EDR,1.0,11250.0,0.1109,10002.38,SAR,2026-01-05 06:00:00
L0024792,INV-2025-012038,INV,,30/09/2025,REP-025,CUST-00365,Egypt,DV-SW48,2.0,110135.52,0.168,183265.51,EGP,2026-01-05 06:00:00
L0025099,INV-2025-012158,INV,,2025-09-27,REP-040,CUST-00677,Saudi Arabia,CL-PROD,1.0,5625.0,0.0215,5504.06,SAR,2026-01-05 06:00:00
L0015043,INV-2025-007250,INV,,2025-01-30,REP-048,CUST-00731,UAE,CL-BKP,1.0,1200.0,0.2029,956.52,USD,2026-01-05 06:00:00
L0009690,INV-2024-004717,INV,,2024-09-26,REP-048,CUST-00731,UAE,CL-PROD,3.0,5508.75,0.1401,14210.92,AED,2026-01-05 06:00:00
L0023058,INV-2025-011193,INV,,2025-07-08,REP-067,CUST-00860,Oman,CL-PROD,2.0,576.75,0.0297,1119.24,OMR,2026-01-05 06:00:00
L0014979,INV-2025-007216,INV,,2025-01-03,REP-046,CUST-00609,Saudi Arabia,CN-SDWAN,1.0,13500.0,0.0566,12735.9,SAR,2026-01-05 06:00:00
L0007650,INV-2024-003731,INV,,2024-07-01,REP-056,CUST-00752,UAE,CL-IAAS-L,2.0,27543.75,0.1098,49038.89,AED,2026-01-05 06:00:00
L0010009,INV-2024-004852,INV,,2024-09-08,REP-066,CUST-00892,Oman,DV-AP,2.0,173.02,0.0344,334.14,OMR,2026-01-05 06:00:00
L0016333,INV-2025-007881,INV,,2025-02-06,REP-056,CUST-00747,UAE,DV-SW48,6.0,2200.0,0.1004,11874.72,USD,2026-01-05 06:00:00
L0009670,INV-2024-004705,INV,,2024-09-30,REP-046,CUST-00514,Saudi Arabia,DV-AP,7.0,1687.5,0.0605,11097.84,SAR,2026-01-05 06:00:00
L0027980,INV-2025-013570,INV,,2025-11-07,REP-037,CUST-00382,Saudi Arabia,MS-HELP,1.0,18000.0,0.1101,16018.2,SAR,2026-01-05 06:00:00
L0020228,INV-2025-009814,INV,,2025-05-12,REP-089,CUST-00809,UAE,CN-FIB-100,2.0,8814.0,0.1804,14447.91,AED,2026-01-05 06:00:00
L0027605,INV-2025-013399,INV,,2025-11-02,REP-018,CUST-00109,egypt,CL-BKP,1.0,60172.92,0.0915,54667.1,EGP,2026-01-05 06:00:00
L0029316,INV-2025-014232,INV,,2025-12-27,REP-078,CUST-00315,Egypt,CL-BKP,1.0,60544.44,0.1151,53575.77,EGP,2026-01-05 06:00:00
L0011441,INV-2024-005514,INV,,2024-11-23,REP-009,CUST-00069,Egypt,CL-BKP,1.0,57975.84,0.1122,51470.95,EGP,2026-01-05 06:00:00
L0008602,INV-2024-004199,INV,,2024-08-30,REP-053,CUST-00746,UAE,CY-EDR,1.0,11017.5,0.0789,10148.22,AED,2026-01-05 06:00:00
L0017036,INV-2025-008247,INV,,2025-03-30,REP-028,CUST-00386,Saudi Arabia,CY-EDR,1.0,11250.0,0.0858,10284.75,SAR,2026-01-05 06:00:00
L0004158,INV-2024-002043,INV,,2024-04-02,REP-057,CUST-00818,UAE,PS-IMPL,2.0,2938.0,0.1078,5242.57,AED,2026-01-05 06:00:00
L0030483,INV-2025-014763,INV,,2025-12-29,REP-065,CUST-00955,Oman,CL-BKP,2.0,461.4,0.0074,915.97,OMR,2026-01-05 06:00:00
L0010229,INV-2024-004948,INV,,2024-10-03,REP-007,CUST-00032,Egypt,CL-BKP,3.0,58395.6,0.1194,154269.5,EGP,2026-01-05 06:00:00
L0015189,INV-2025-007310,INV,,2025-01-22,REP-061,CUST-00787,UAE,CL-BKP,7.0,4407.0,0.1773,25379.47,AED,2026-01-05 06:00:00
L0016734,INV-2025-008082,INV,,2025-03-24,REP-011,CUST-00165,Egypt,CY-EDR,1.0,146846.7,0.0074,145760.03,EGP,2026-01-05 06:00:00
L0028817,INV-2025-013969,INV,,2025-11-23,REP-080,CUST-00822,Oman,CL-BKP,1.0,461.4,0.094,418.03,OMR,2026-01-05 06:00:00
L0019697,INV-2025-009549,INV,,2025-05-31,REP-085,CUST-00396,Saudi Arabia,CL-IAAS-S,4.0,6750.0,0.0964,24397.2,SAR,2026-01-05 06:00:00
L0003506,INV-2024-001723,INV,,2024-04-27,REP-016,CUST-00080,Egypt,DV-AP,1.0,21573.18,0.0986,19446.06,EGP,2026-01-05 06:00:00
L0025492,INV-2025-012344,INV,,2025-09-16,REP-091,CUST-00727,UAE,cy-soc ,2.0,66105.0,0.0772,122003.39,AED,2026-01-05 06:00:00
L0023692,INV-2025-011514,INV,,2025-08-12,REP-035,CUST-00386,Saudi Arabia,MS-HELP,1.0,18000.0,0.1143,15942.6,SAR,2026-01-05 06:00:00
L0009326,INV-2024-004536,INV,,2024-09-24,REP-025,CUST-00338,Egypt,PS-IMPL,11.0,38589.52,0.1851,345912.6,EGP,2026-01-05 06:00:00
L0015290,INV-2025-007365,INV,,2025-01-27,REP-067,CUST-00854,Oman,CN-FIB-100,1.0,922.8,0.0532,873.71,OMR,2026-01-05 06:00:00
L0023047,INV-2025-011187,INV,,2025-07-16,REP-067,CUST-00953,Oman,CL-BKP,1.0,461.4,0.0706,428.83,OMR,2026-01-05 06:00:00
L0018260,INV-2025-008843,INV,,2025-04-26,REP-031,CUST-00439,Saudi Arabia,CN-SDWAN,9.0,13500.0,0.0854,111123.9,SAR,2026-01-05 06:00:00
L0027716,INV-2025-013462,INV,,2025-11-28,REP-079,CUST-00129,egypt,CN-FIB-100,1.0,120345.84,0.0812,110573.76,EGP,2026-01-05 06:00:00
L0009192,INV-2024-004472,INV,,2024-09-30,REP-018,CUST-00233,Egypt,DV-RTR,2.0,53060.59,0.1106,94384.18,EGP,2026-01-05 06:00:00
L0021481,INV-2025-010452,INV,,2025-06-28,REP-076,CUST-00531,Saudi Arabia,CL-BKP,1.0,4500.0,0.0942,4076.1,SAR,2026-01-05 06:00:00
L0005063,INV-2024-002494,INV,,2024-05-30,REP-042,CUST-00481,Saudi Arabia,CL-BKP,3.0,4500.0,0.0667,12599.55,SAR,2026-01-05 06:00:00
L0022756,INV-2025-011063,INV,,2025-07-17,REP-051,CUST-00719,UAE,CN-FIB-100,6.0,8814.0,0.1271,46162.44,AED,2026-01-05 06:00:00
L0013509,INV-2024-006512,INV,,2024-12-11,REP-044,CUST-00460,Saudi Arabia,CN-FIB-100,1.0,9000.0,0.0972,8125.2,SAR,2026-01-05 06:00:00
L0023663,INV-2025-011502,INV,,2025-08-01,REP-032,CUST-00398,Saudi Arabia,CN-FIB-100,2.0,9000.0,0.0713,16716.6,SAR,2026-01-05 06:00:00
L0003237,INV-2024-001590,INV,,2024-04-13,REP-001,CUST-00039,Egypt,CL-BKP,1.0,57528.48,0.0967,51965.48,EGP,2026-01-05 06:00:00
L0011754,INV-2024-005677,INV,,2024-11-05,REP-027,CUST-00368,Egypt,CN-FIB-100,1.0,115951.68,0.1711,96112.35,EGP,2026-01-05 06:00:00
L0029582,INV-2025-014361,INV,,2025-12-21,REP-031,CUST-00407,Saudi Arabia,CY-EDR,1.0,11250.0,0.1296,9792.0,SAR,2026-01-05 06:00:00
L0010342,INV-2024-005009,INV,,2024-10-15,REP-016,CUST-00155,Egypt,CN-FIB-100,1.0,116791.2,0.1272,101935.36,EGP,2026-01-05 06:00:00
L0015811,INV-2025-007635,INV,,2025-02-21,REP-027,CUST-00368,Egypt,CN-SDWAN,1.0,176805.72,0.1949,142346.29,EGP,2026-01-05 06:00:00
L0015116,INV-2025-007277,INV,,2025-01-06,REP-054,CUST-00738,UAE,CY-EDR,1.0,11017.5,0.1315,9568.7,AED,2026-01-05 06:00:00
L0007290,INV-2024-003571,INV,,2024-07-14,REP-026,CUST-00367,Egypt,CN-FIB-100,1.0,116274.48,0.1797,95379.96,EGP,2026-01-05 06:00:00
L0011272,INV-2024-005446,INV,,2024-10-20,REP-068,CUST-00827,Oman,cl-bkp ,2.0,461.4,0.1138,817.79,OMR,2026-01-05 06:00:00
L0009397,INV-2024-004568,INV,,2024-09-26,REP-031,CUST-00439,Saudi Arabia,PS-IMPL,1.0,3000.0,0.1443,2567.1,SAR,2026-01-05 06:00:00
L0015509,INV-2025-007470,INV,,2025-02-03,REP-011,CUST-00132,Egypt,PS-IMPL,2.0,39290.16,0.0308,76160.05,EGP,2026-01-05 06:00:00
L0021697,INV-2025-010538,INV,,2025-06-26,REP-060,CUST-00812,UAE,CL-IAAS-S,4.0,6610.5,0.2332,20275.73,AED,2026-01-05 06:00:00
L0028580,INV-2025-013842,INV,,2025-11-26,REP-063,CUST-00809,UAE,CL-IAAS-S,7.0,6610.5,0.232,35538.05,AED,2026-01-05 06:00:00
L0020143,INV-2025-009770,INV,,2025-05-05,REP-060,CUST-00787,UAE,MS-HELP,1.0,17628.0,0.1821,14417.94,AED,2026-01-05 06:00:00
L0031220,CN-2025-00273,CN,INV-2025-010359,2025-11-10,REP-043,CUST-00507,Saudi Arabia,DV-SW48,-2.0,8250.0,0.0526,-15632.1,SAR,2026-01-05 06:00:00
L0030064,INV-2025-014593,INV,,2025-12-10,REP-096,CUST-00475,Saudi Arabia,CL-PROD,1.0,5625.0,0.0538,5322.38,SAR,2026-01-05 06:00:00
L0019599,INV-2025-009513,INV,,2025-05-31,REP-032,CUST-00425,Saudi Arabia,MS-HELP,1.0,18000.0,0.1146,15937.2,SAR,2026-01-05 06:00:00
L0002031,INV-2024-000988,INV,,2024-02-03,REP-065,CUST-00909,Oman,CN-FIB-100,2.0,922.8,0.0355,1780.08,OMR,2026-01-05 06:00:00
L0002145,INV-2024-001050,INV,,2024-03-27,REP-002,CUST-00048,Egypt,MS-HELP,1.0,227583.84,0.1182,200683.43,EGP,2026-01-05 06:00:00
L0030593,INV-2025-014821,INV,,2025-12-07,REP-074,CUST-00824,Oman,CL-BKP,1.0,461.4,0.0589,434.22,OMR,2026-01-05 06:00:00
L0019511,INV-2025-009470,INV,,2025-05-25,REP-026,CUST-00348,Egypt,PS-IMPL,22.0,39944.4,0.1665,732460.46,EGP,2026-01-05 06:00:00
L0024262,INV-2025-011782,INV,,2025-09-06,REP-003,CUST-00037,Egypt,MS-HELP,1.0,240295.68,0.11,213863.16,EGP,2026-01-05 06:00:00
L0030024,INV-2025-014568,INV,,2025-12-19,REP-047,CUST-00552,Saudi Arabia,CN-SDWAN,2.0,13500.0,0.0502,25644.6,SAR,2026-01-05 06:00:00
L0031084,CN-2025-00192,CN,INV-2024-006795,2025-04-07,REP-067,CUST-00942,Oman,CL-BKP,-2.0,461.4,0.0498,-876.84,OMR,2026-01-05 06:00:00
L0027448,INV-2025-013305,INV,,2025-11-25,REP-010,CUST-00073,Egypt,CN-FIB-100,1.0,120345.84,0.0282,116952.09,EGP,2026-01-05 06:00:00
L0030595,INV-2025-014821,INV,,2025-12-07,REP-074,CUST-00824,Oman,DV-AP,3.0,173.02,0.0186,509.41,OMR,2026-01-05 06:00:00
L0004674,INV-2024-002302,INV,,2024-05-31,REP-018,CUST-00283,Egypt,DV-RTR,2.0,52673.17,0.1557,88943.91,EGP,2026-01-05 06:00:00
L0016113,INV-2025-007782,INV,,2025-02-27,REP-044,CUST-00661,Saudi Arabia,DV-AP,6.0,1687.5,0.0553,9565.09,SAR,2026-01-05 06:00:00
L0006881,INV-2024-003367,INV,,2024-07-09,REP-006,CUST-00062,Egypt,PS-TRN,6.0,72671.55,0.1512,370101.67,EGP,2026-01-05 06:00:00
L0026791,INV-2025-013007,INV,,2025-10-15,REP-050,CUST-00756,UAE,CY-EDR,1.0,11017.5,0.0901,10024.82,AED,2026-01-05 06:00:00
L0011892,INV-2024-005729,INV,,2024-11-30,REP-037,CUST-00407,Saudi Arabia,PS-TRN,2.0,5625.0,0.161,9438.75,SAR,2026-01-05 06:00:00
L0019021,INV-2025-009221,INV,,2025-05-10,REP-003,CUST-00017,Egypt,PS-IMPL,3.0,39944.4,0.0912,108904.41,EGP,2026-01-05 06:00:00
L0016323,INV-2025-007877,INV,,2025-02-04,REP-056,CUST-00734,UAE,MS-HELP,1.0,17628.0,0.0668,16450.45,AED,2026-01-05 06:00:00
L0028460,INV-2025-013794,INV,,2025-11-23,REP-088,CUST-00773,UAE,CY-FW,1.0,22035.0,0.1647,18405.84,AED,2026-01-05 06:00:00
L0019663,INV-2025-009540,INV,,2025-05-22,REP-070,CUST-00416,Saudi Arabia,CY-EDR,2.0,11250.0,0.1032,20178.0,SAR,2026-01-05 06:00:00
L0009170,INV-2024-004456,INV,,2024-09-22,REP-017,CUST-00234,Egypt,DV-AP,5.0,21706.6,0.0821,99622.44,EGP,2026-01-05 06:00:00
L0015009,INV-2025-007234,INV,,2025-01-22,REP-047,CUST-00573,Saudi Arabia,CN-SDWAN,1.0,13500.0,0.0463,12874.95,SAR,2026-01-05 06:00:00
L0030304,INV-2025-014679,INV,,2025-12-24,REP-094,CUST-00720,UAE,CL-PROD,1.0,5508.75,0.1468,4700.07,AED,2026-01-05 06:00:00
L0017210,INV-2025-008318,INV,,2025-03-19,REP-039,CUST-00680,Saudi Arabia,CY-EDR,1.0,11250.0,0.0457,10735.88,SAR,2026-01-05 06:00:00
L0018140,INV-2025-008794,INV,,2025-04-16,REP-025,CUST-00338,Egypt,CL-BKP,1.0,58959.6,0.1494,50151.04,EGP,2026-01-05 06:00:00
L0014234,INV-2025-006850,INV,,2025-01-06,REP-005,CUST-00044,Egypt,CL-PROD,4.0,74518.05,0.1748,245969.18,EGP,2026-01-05 06:00:00
L0018806,INV-2025-009105,INV,,2025-04-29,REP-063,CUST-00812,UAE,CL-IAAS-S,2.0,6610.5,0.151,11224.63,AED,2026-01-05 06:00:00
L0007927,INV-2024-003857,INV,,2024-08-29,REP-002,CUST-00046,Egypt,CY-EDR,1.0,143464.8,0.146,122518.94,EGP,2026-01-05 06:00:00
L0000632,INV-2024-000312,INV,,2024-01-26,REP-048,CUST-00766,UAE,CN-FIB-100,1.0,8814.0,0.142,7562.41,AED,2026-01-05 06:00:00
L0009114,INV-2024-004425,INV,,2024-09-26,REP-014,CUST-00141,Egypt,CN-FIB-100,1.0,115768.56,0.014,114147.8,EGP,2026-01-05 06:00:00
L0010131,INV-2024-004913,INV,,2024-10-30,REP-004,CUST-00014,Egypt,CY-EDR,1.0,145989.0,0.1063,130470.37,EGP,2026-01-05 06:00:00
L0023743,INV-2025-011533,INV,,2025-08-13,REP-075,CUST-00426,Saudi Arabia,PS-IMPL,25.0,3000.0,0.1045,67162.5,SAR,2026-01-05 06:00:00
L0027074,INV-2025-013118,INV,,2025-10-29,REP-086,CUST-00811,UAE,CL-BKP,1.0,4407.0,0.2646,3240.91,AED,2026-01-05 06:00:00
L0003373,INV-2024-001646,INV,,2024-04-12,REP-010,CUST-00221,Egypt,CN-SDWAN,1.0,172585.44,0.024,168443.39,EGP,2026-01-05 06:00:00
L0017454,INV-2025-008450,INV,,2025-03-26,REP-051,CUST-00713,UAE,CN-FIB-100,1.0,8814.0,0.1617,7388.78,AED,2026-01-05 06:00:00
L0002364,INV-2024-001146,INV,,2024-03-28,REP-013,CUST-00173,Egypt,CN-FIB-100,1.0,113791.92,0.0258,110856.09,EGP,2026-01-05 06:00:00
L0024181,INV-2025-011738,INV,,2025-08-14,REP-066,CUST-00915,Sultanate of Oman,CN-FIB-100,1.0,922.8,0.0389,886.9,OMR,2026-01-05 06:00:00
L0023555,INV-2025-011459,INV,,2025-08-17,REP-025,CUST-00354,Egypt,CL-PROD,1.0,74794.95,0.2133,58841.19,EGP,2026-01-05 06:00:00
L0029474,INV-2025-014316,INV,,2025-12-15,REP-087,CUST-00372,Egypt,DV-AP,6.0,22704.16,0.218,106527.92,EGP,2026-01-05 06:00:00
L0018204,INV-2025-008823,INV,,2025-04-15,REP-028,CUST-00395,Saudi Arabia,CL-PROD,4.0,5625.0,0.1373,19410.75,SAR,2026-01-05 06:00:00
L0026432,INV-2025-012825,INV,,2025-10-28,REP-035,CUST-00433,Saudi Arabia,MS-HELP,1.0,18000.0,0.1072,16070.4,SAR,2026-01-05 06:00:00
L0017613,INV-2025-008515,INV,,2025-03-29,REP-049,CUST-00778,UAE,CN-FIB-100,1.0,8814.0,0.1784,7241.58,AED,2026-01-05 06:00:00
L0007955,INV-2024-003868,INV,,2024-08-31,REP-005,CUST-00054,Egypt,CL-PROD,7.0,71732.4,0.1546,424498.0,EGP,2026-01-05 06:00:00
L0003171,INV-2024-001548,INV,,2024-03-02,REP-063,CUST-00786,UAE,DV-SW48,1.0,8079.5,0.1884,6557.32,AED,2026-01-05 06:00:00
L0022824,INV-2025-011085,INV,,2025-07-28,REP-072,CUST-00759,UAE,CN-FIB-100,7.0,8814.0,0.0552,58292.27,AED,2026-01-05 06:00:00
L0013513,INV-2024-006514,INV,,2024-12-25,REP-044,CUST-00497,Saudi Arabia,CN-FIB-100,1.0,9000.0,0.0222,8800.2,SAR,2026-01-05 06:00:00
L0003841,INV-2024-001888,INV,,2024-04-12,REP-040,CUST-00636,Saudi Arabia,CL-BKP,1.0,4500.0,0.0,4500.0,SAR,2026-01-05 06:00:00
L0017540,INV-2025-008481,INV,,2025-03-29,REP-057,CUST-00778,UAE,DV-RTR,16.0,4039.75,0.1715,53550.93,AED,2026-01-05 06:00:00
L0014245,INV-2025-006853,INV,,15/01/2025,REP-006,CUST-00066,Egypt,CY-EDR,1.0,149036.1,0.0881,135906.02,EGP,2026-01-05 06:00:00
L0002686,INV-2024-001312,INV,,2024-03-27,REP-031,CUST-00443,Saudi Arabia,DV-SW48,5.0,8250.0,0.0958,37298.25,SAR,2026-01-05 06:00:00
L0022881,INV-2025-011106,INV,,2025-07-04,REP-057,CUST-00803,UAE,CL-PROD,4.0,5508.75,0.1795,18079.72,AED,2026-01-05 06:00:00
L0019423,INV-2025-009428,INV,,2025-05-20,REP-079,CUST-00259,Egypt,CN-FIB-100,1.0,119833.2,0.0715,111265.13,EGP,2026-01-05 06:00:00
L0020296,INV-2025-009851,INV,,2025-05-30,REP-067,CUST-00842,Oman,CL-BKP,2.0,461.4,0.0565,870.66,OMR,2026-01-05 06:00:00
L0022066,INV-2025-010716,INV,,2025-07-28,REP-009,CUST-00008,Egypt,MS-HELP,1.0,237724.8,0.0652,222225.14,EGP,2026-01-05 06:00:00
L0023251,INV-2025-011291,INV,,2025-08-05,REP-009,CUST-00011,Egypt,CY-EDR,1.0,149589.9,0.0976,134989.93,EGP,2026-01-05 06:00:00
L0018727,INV-2025-009072,INV,,2025-04-19,REP-072,CUST-00736,UAE,DV-SW48,10.0,8079.5,0.0758,74670.74,AED,2026-01-05 06:00:00
L0000701,INV-2024-000334,INV,,2024-01-27,REP-052,CUST-00764,UAE,CN-FIB-100,6.0,8814.0,0.127,46167.73,AED,2026-01-05 06:00:00
L0002711,INV-2024-001321,INV,,2024-03-30,REP-033,CUST-00392,Saudi Arabia,CL-IAAS-L,2.0,28125.0,0.0548,53167.5,SAR,2026-01-05 06:00:00
L0022181,INV-2025-010775,INV,,2025-07-21,REP-015,CUST-00314,Egypt,CN-FIB-100,1.0,118862.4,0.0958,107475.38,EGP,2026-01-05 06:00:00
L0007364,INV-2024-003598,INV,,2024-07-22,REP-033,CUST-00405,Saudi Arabia,CN-FIB-1G,1.0,52500.0,0.0715,48746.25,SAR,2026-01-05 06:00:00
